|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
Samsung PM9B1 MZVL41T0HBLB MZVL41T0HBLB|внутренний||1000 ГБ|M.2||3D TLC NAND|3000 МБ/с|3600 МБ/с|||||22x80 мм||||PCI-E 4.0 4x|Есть|||Есть|420 тыс|500 тыс|||||||||||
Silicon Power Ace A55 SP256GBSS3A55S25 SP256 ГБSS3A55S25|внутренний||256 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|560 МБ/с||1500 G|1.5 млн. ч||100x70x7 мм|63 г|Silicon Motion SM2258XT|3 года|||||||||||||Есть|4712702659115|SP256GBSS3A55S25, SPJ256GBSS3A55B|||
Hikvision E3000 HS-SSD-E3000/512G HS-SSD-E3000\/512G|внутренний||512 ГБ|M.2||3D TLC NAND|3150 МБ/с|3500 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|224 ТБ|||||||||||6931847128067||||
Transcend 420S TS240GMTS420S TS240GMTS420S|внутренний||240 ГБ|M.2||3D TLC NAND|480 МБ/с|520 МБ/с|||1 млн. ч||22x42 мм|8 г||3 года|SATA 3|||||75 тыс|40 тыс||||||Есть|0760557839903||||
Transcend 830S M.2 TS512GMTS830S TS512GMTS830S|внутренний||512 ГБ|M.2||3D TLC NAND|500 МБ/с|560 МБ/с|||2.5 млн. ч||22x80 мм|||5 лет|SATA 3||||||||||||Есть|0760557842958||||
Netac SA500 NT01SA500-256-S3X NT01SA500-256-S3X|внутренний||256 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|520 МБ/с|||1.5 млн. ч||100x70x7 мм|||3 года|||120 ТБ|0.5 раз/день|||||||||Есть|6926337235707||||
Transcend 825S TS250GMTS825S TS250GMTS825S|внутренний||250 ГБ|M.2||3D TLC NAND|330 МБ/с|500 МБ/с|||2 млн. ч||22x80 мм|||3 года|SATA 3||90 ТБ|0.3 раз/день||75 тыс|40 тыс||||||Есть|||||
A-Data Ultimate SU650 ASU650SS-1TT-R ASU650SS-1TT-R|внутренний||1000 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|520 МБ/с||1500 G|2 млн. ч||100x70x10 мм|48 г|Silicon Motion SM2258XT|3 года|||600 ТБ|0.6 раз/день||65 тыс|40 тыс||||||Есть|||||
Kingston DC600M SEDC600M/960G SEDC600M\/960G|внутренний|для сервера|960 ГБ|"2.5"""||3D TLC NAND|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|92 г||5 лет|SATA 3||1 ТБ|1752 раз/день||65 тыс|94 тыс|||||||0740617334913||||
Silicon Power PC60 SP256GBPSDPC60CK SP256 ГБPSDPC60CK|внешний||256 ГБ||USB C 3.2 gen2|3D TLC NAND|500 МБ/с|540 МБ/с||||пластик|80x80x11 мм|||3 года|||||Есть|||USB C – USB A||||||4713436149941||||
Crucial 5400 Pro MTFDDAK960TGA MTFDDAK960TGA|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3||520 МБ/с|540 МБ/с|||||100x70x7 мм|||5 лет||||||33 тыс|95 тыс|||||||0649528933737||||
Samsung PM897 MZ7L3480HBLT MZ7L3480HBLT|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|470 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||3 раз/день||32 тыс|97 тыс|||||||||||
Samsung PM983 MZQLB3T8HALS MZQLB3T8HALS|внутренний|для сервера|3840 ГБ|"2.5"""|U.2 / PCIe Gen3 x4 /|3D TLC NAND|2000 МБ/с|3200 МБ/с|||||||Samsung Phoenix|3 года||Есть||1.3 раз/день||50 тыс|540 тыс|||||||||||
Hikvision T100F HS-ESSD-T100F/1024G HS-ESSD-T100F\/1024G|внешний||1000 ГБ||USB C 3.2 gen1||450 МБ/с|450 МБ/с||||металл / алюминий /|70x70x8 мм|120 г||||||||||USB C – USB C||||||||||
Silicon Power Ace A55 SP001TBSS3A55S25 SP001TBSS3A55S25|внутренний||1024 ГБ|"2.5"""|SATA 3|3D TLC NAND|530 МБ/с|560 МБ/с||1500 G|1.5 млн. ч||100x70x7 мм|63 г|Silicon Motion SM2258XT|3 года|||||||||||||Есть||SP001TBSS3A55S25, SPJ001TBSS3A55B|||
Silicon Power PC60 SP040TBPSDPC60CK SP040TBPSDPC60CK|внешний||4000 ГБ||USB C 3.2 gen2|3D TLC NAND|500 МБ/с|540 МБ/с||||пластик|80x80x11 мм|||3 года|||||Есть|||USB C – USB A||||||||||
A-Data SE760 ASE760-256GU32G2-CTI ASE760-256GU32G2-CTI|внешний||256 ГБ|M.2|USB C 3.2 gen2|3D TLC NAND|800 МБ/с|1000 МБ/с||||металл|122x44x14 мм|95 г||3 года||||||||USB C – USB C и USB C – USB A||||||4710273772691, 4710273772707|ASE760-256GU32G2-CBK, ASE760-256GU32G2-CTI|||
A-Data SE760 ASE760-2TU32G2-CTI ASE760-2TU32G2-CTI|внешний||2048 ГБ|M.2|USB C 3.2 gen2|3D TLC NAND|1000 МБ/с|1000 МБ/с||||металл|122x44x14 мм|95 г||3 года||||||||USB C – USB C и USB C – USB A||||||4710273773629|ASE760-2TU32G2-CBK, ASE760-2TU32G2-CTI|||
Transcend 825S TS500GMTS825S TS500GMTS825S|внутренний||500 ГБ|M.2||3D TLC NAND|480 МБ/с|530 МБ/с|||2 млн. ч||22x80 мм|||3 года|SATA 3||180 ТБ|0.3 раз/день||75 тыс|55 тыс||||||Есть|||||
A-Data Elite SE880 AELI-SE880-500GCGY AELI-SE880-500GCGY|внешний||500 ГБ|"1.8"""|USB C 3.2 gen2x2|3D TLC NAND|2000 МБ/с|2000 МБ/с||||пластик|65x35x12 мм|31 г||5 лет||||||||USB C – USB C и USB C – USB A||||||||||
Kingston DC600M SEDC600M/480G SEDC600M\/480G|внутренний|для сервера|480 ГБ|"2.5"""||3D TLC NAND|470 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|92 г||5 лет|SATA 3||1 ТБ|876 раз/день||41 тыс|94 тыс|||||||0740617334937||||
Kingston DC600M SEDC600M/1920G SEDC600M\/1920G|внутренний|для сервера|1920 ГБ|"2.5"""||3D TLC NAND|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|92 г||5 лет|SATA 3||1 ТБ|3504 раз/день||78 тыс|94 тыс|||||||0740617334890||||
GOODRAM CX400 GEN.2 SSDPR-CX400-256-G2 SSDPR-CX400-256-G2|внутренний||256 ГБ|"2.5"""|SATA 3|3D TLC NAND|480 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм||Phison PS3111-S11|3 года|||180 ТБ|0.7 раз/день||61 тыс|65 тыс||||||Есть|5908267923443||||
Gigabyte M30 GP-GM30512G-G GP-GM30512G-G|внутренний||512 ГБ|M.2||3D TLC NAND|2600 МБ/с|3500 МБ/с|2000 МБ / DDR3L /|1500 G|2 млн. ч||22x80 мм||Realtek RTS5762|5 лет|PCI-E 3.0 4x|Есть|350 ТБ|0.4 раз/день||302 тыс|350 тыс||||||Есть|4719331822828||||
A-Data XPG GAMMIX S70 BLADE AGAMMIXS70B-2T-CS AGAMMIXS70B-2T-CS|внутренний||2000 ГБ|M.2||3D TLC NAND|6400 МБ/с|7400 МБ/с||1500 G|2 млн. ч||22x80 мм||Innogrit IG5236|5 лет|PCI-E 4.0 4x|Есть|1480 ТБ|0.4 раз/день|Есть|740 тыс|650 тыс|||||Есть||4711085933072||||
Samsung PM897 MZ7L33T8HBNA MZ7L33T8HBNA|внутренний|для сервера|3840 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|470 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||3 раз/день||32 тыс|97 тыс|||||||||||
WD Red SA500 M.2 WDS500G1R0B S500G1R0B|внутренний||500 ГБ|M.2||3D TLC NAND|530 МБ/с|560 МБ/с||1500 G|||22x80 мм|||5 лет|SATA 3|||||||||||||0718037872346, 0718037872353||||
Silicon Power PC60 SP010TBPSDPC60CK SP010TBPSDPC60CK|внешний||1000 ГБ||USB C 3.2 gen2|3D TLC NAND|500 МБ/с|540 МБ/с||||пластик|80x80x11 мм|||3 года|||||Есть|||USB C – USB A||||||4713436149965||||
Team Group CX2 T253X6512G0C101 T253X6512G0C101|внутренний||512 ГБ|"2.5"""|SATA 3|3D TLC NAND|470 МБ/с|530 МБ/с||1500 G|1 млн. ч||100x70x7 мм|||3 года|||400 ТБ|0.7 раз/день||||||||||0765441051935||||
Kingston DC600M SEDC600M/7680G SEDC600M\/7680G|внутренний|для сервера|7680 ГБ|"2.5"""||3D TLC NAND|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|92 г||5 лет|SATA 3||1 ТБ|14016 раз/день||34 тыс|94 тыс|||||||0740617334951||||
Samsung PM9A3 MZ1L21T9HCLS-00A07 MZ1L21T9HCLS-00A07|внутренний|для сервера|1920 ГБ|M.2||3D TLC NAND|1400 МБ/с|3000 МБ/с|||2 млн. ч||||Samsung Elpis|3 года|PCI-E 4.0 4x|||||42 тыс|480 тыс|||||||||||
Intel D3-S4610 SSDSC2KG038T801 SSDSC2KG038T801|внутренний|для сервера|3840 ГБ|"2.5"""|SATA 3|3D TLC NAND|510 МБ/с|560 МБ/с||1000 G|2 млн. ч||100x70x7 мм|||5 лет||||||42 тыс|96 тыс|||||||0073585836306, 0735858363068||||
Team Group MP33 PRO M.2 TM8FPD001T0C101 TM8FPD001T0C101|внутренний||1000 ГБ|M.2||3D TLC NAND|1700 МБ/с|2100 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|600 ТБ|0.3 раз/день||200 тыс|220 тыс||||||Есть|||||
Intel D3-S4610 SSDSC2KG960G801 SSDSC2KG960G801|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|3D TLC NAND|510 МБ/с|560 МБ/с||1000 G|2 млн. ч||100x70x7 мм|||5 лет||||||51 тыс|96 тыс|||||||||||
Transcend 430S M.2 TS128GMTS430S TS128GMTS430S|внутренний||128 ГБ|M.2||3D TLC NAND|380 МБ/с|560 МБ/с|||1 млн. ч||42x22 мм|5 г||5 лет|SATA 3||70 ТБ|0.3 раз/день||80 тыс|35 тыс||||||Есть|||||
Colorful CN600 CN600 256GB CN600 256 ГБ|внутренний||256 ГБ|M.2||3D TLC NAND / 64-слойная /|900 МБ/с|1600 МБ/с|||2 млн. ч||22x80 мм||Realtek RTS5760|3 года|PCI-E 3.0 4x|Есть|||||||||||Есть|||||
Patriot Memory P400 P400P1TBM28H P400P1TBM28H|внутренний||1000 ГБ|M.2|||4800 МБ/с|5000 МБ/с|||2 млн. ч||22x80 мм|9 г||5 лет|PCI-E 4.0 4x|Есть|800 ТБ|0.4 раз/день||550 тыс|620 тыс|||||Есть||0814914029145||||
Transcend SSD370S TS32GSSD370S TS32GSSD370S|внутренний||32 ГБ|"2.5"""|SATA 3|MLC|40 МБ/с|230 МБ/с|||||70x100x7 мм|63 г|Silicon Motion SN2246EN|3 года|||45 ТБ|1.3 раз/день||10 тыс|20 тыс||||||Есть|||||
Kingston DC500M SEDC500M/3840G SEDC500M\/3840G|внутренний|для сервера|3840 ГБ|"2.5"""|SATA 3|3D TLC NAND|520 МБ/с|555 МБ/с|||2 млн. ч||100x70x7 мм|92 г|||||9110 ТБ|1.3 раз/день||75 тыс|98 тыс||||||Есть|||||
A-Data XPG GAMMIX S11 Pro M.2 AGAMMIXS11P-512GT-C AGAMMIXS11P-512GT-C|внутренний||512 ГБ|M.2||3D TLC NAND|2300 МБ/с|3500 МБ/с||1500 G|2 млн. ч||22x80 мм|11 г|Silicon Motion SM2262EN|5 лет|PCI-E 3.0 4x|Есть|320 ТБ|0.4 раз/день||380 тыс|390 тыс|||||Есть|Есть|4710273770765||||
Transcend ESD310C TS256GESD310C TS256GESD310C|внешний||256 ГБ||USB C 3.2 gen2||950 МБ/с|1050 МБ/с||||металл|71x20x8 мм|11 г||5 лет||||||||||||||0760557861928||||
Transcend 825S TS1TMTS825S TS1TMTS825S|внутренний||1000 ГБ|M.2||3D TLC NAND|500 МБ/с|550 МБ/с|||2 млн. ч||22x80 мм|||3 года|SATA 3||360 ТБ|0.3 раз/день||72 тыс|55 тыс||||||Есть|0760557859390||||
Intel D3-S4620 SSDSC2KG960GZ01 SSDSC2KG960GZ01|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|3D TLC NAND / 144L /|510 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||||54 тыс|90 тыс|||||||||||
Intel D3-S4620 SSDSC2KG480GZ01 SSDSC2KG480GZ01|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D TLC NAND / 144L /|500 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||||48 тыс|85 тыс|||||||0735858482660||||
Silicon Power P34A60 M.2 SP002TBP34A60M28 SP002TBP34A60M28|внутренний||2000 ГБ|M.2||3D TLC NAND|1600 МБ/с|2200 МБ/с||1500 G|2 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть||||||||||||4713436129899||||
Samsung PM897 MZ7L31T9HBNA MZ7L31T9HBNA|внутренний|для сервера|1920 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|470 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||3 раз/день||32 тыс|97 тыс|||||||||||
Silicon Power A55 M.2 SP256GBSS3A55M28 SP256 ГБSS3A55M28|внутренний||256 ГБ|M.2||3D TLC NAND|530 МБ/с|560 МБ/с||1500 G|1.5 млн. ч||22x80 мм|||3 года|SATA 3||||||||||||Есть|4713436121749||||
Samsung PM1643a MZILT1T9HBJR MZILT1T9HBJR|внутренний|для сервера|1920 ГБ|"2.5"""|SAS|3D TLC NAND|1800 МБ/с|2100 МБ/с||||||||5 лет||||1 раз/день||60 тыс|430 тыс|||||||8592978306953||||
Intel DC P4510 SSDPE2KX010T801 SSDPE2KX010T801|внутренний|для сервера|1000 ГБ|"2.5"""|U.2|3D TLC NAND / 64-Layer /|1100 МБ/с|2850 МБ/с||1000 G|2 млн. ч||100x70x15 мм|139 г||5 лет||Есть||||70 тыс|465 тыс|||||||0735858343824||||
Apacer AS2280P4 M.2 AP240GAS2280P4-1 AP240GAS2280P4-1|внутренний||240 ГБ|M.2||3D TLC NAND|1100 МБ/с|1800 МБ/с||1500 G|1.5 млн. ч||80x22x2.2 мм|||3 года|PCI-E 3.0 4x|Есть||||360 тыс|||||||Есть|4712389917195||||
Apacer AS2280P4 M.2 AP480GAS2280P4-1 AP480GAS2280P4-1|внутренний||480 ГБ|M.2||3D TLC NAND|1500 МБ/с|2100 МБ/с||1500 G|1.5 млн. ч||80x22x2.2 мм|||3 года|PCI-E 3.0 4x|Есть||||360 тыс|||||||Есть|||||
Intel D3-S4620 SSDSC2KG038TZ01 SSDSC2KG038TZ01|внутренний|для сервера|3840 ГБ|"2.5"""|SATA 3|3D TLC NAND / 144L /|510 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||||||60 тыс|91 тыс|||||||0735858482653||||
WD Red SN700 WDS250G1R0C S250G1R0C|внутренний|для сервера|250 ГБ|M.2||3D TLC NAND|1600 МБ/с|3100 МБ/с|||||22x80 мм|8 г||5 лет|PCI-E 3.0 4x|Есть|500 ТБ|1.1 раз/день||180 тыс|220 тыс|||||||0718037891415||||
WD Red SA500 M.2 WDS100T1R0B S100T1R0B|внутренний||1000 ГБ|M.2||3D TLC NAND|530 МБ/с|560 МБ/с||1500 G|||22x80 мм|||5 лет|SATA 3|||||||||||||0718037872360||||
Transcend 430S M.2 TS256GMTS430S TS256GMTS430S|внутренний||256 ГБ|M.2||3D TLC NAND|400 МБ/с|530 МБ/с|||1 млн. ч||42x22 мм|5 г||5 лет|SATA 3||140 ТБ|0.3 раз/день||70 тыс|45 тыс||||||Есть|||||
Silicon Power UD85 SP500GBP44UD8505 SP500 ГБP44UD8505|внутренний||500 ГБ|M.2||3D NAND|2400 МБ/с|3600 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть||||||||||||4713436150428||||
Transcend ESD310C TS512GESD310C TS512GESD310C|внешний||512 ГБ||USB C 3.2 gen2||950 МБ/с|1050 МБ/с||||металл|71x20x8 мм|11 г||5 лет||||||||||||||0760557861935||||
Samsung PM893 MZ7L3960HCJR MZ7L3960HCJR|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|||3 года||||1.3 раз/день||31 тыс|98 тыс|||||||4260580377374||||
Samsung PM883 MZ7LH240HAHQ MZ7LH240HAHQ|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|3D TLC NAND|320 МБ/с|550 МБ/с||1500 G|2 млн. ч|||||3 года||||1.3 раз/день||14 тыс|98 тыс|||||||4260580370917||||
Samsung SM883 MZ7KH1T9HAJR MZ7KH1T9HAJR|внутренний|для сервера|1920 ГБ|"2.5"""|SATA 3|3D MLC NAND|520 МБ/с|540 МБ/с||1500 G|2 млн. ч|||||5 лет||||3 раз/день||29 тыс|97 тыс|||||||||||
A-Data LEGEND 800 ALEG-800-1000GCS ALEG-800-1000GCS|внутренний||1000 ГБ|M.2||3D TLC NAND|2200 МБ/с|3500 МБ/с|||1.5 млн. ч||22x80 мм|||3 года|PCI-E 4.0 4x|Есть|600 ТБ|0.6 раз/день|Есть|||||||||||||
Synology SNV3000 SNV3410-400G SNV3410-400G|внутренний||400 ГБ|M.2||MLC|750 МБ/с|3000 МБ/с|||1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x||491 ТБ|0.7 раз/день||45 тыс|225 тыс|||||||4711174724598||||
Transcend 825S TS2TMTS825S TS2TMTS825S|внутренний||2000 ГБ|M.2||3D TLC NAND|500 МБ/с|560 МБ/с|||2 млн. ч||22x80 мм|||3 года|SATA 3||720 ТБ|0.3 раз/день||80 тыс|55 тыс||||||Есть|||||
Samsung PM893 MZ7L3240HCHQ MZ7L3240HCHQ|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|||3 года||||1.3 раз/день||31 тыс|98 тыс|||||||||||
Kingston KC600 mSATA SKC600MS/512G SKC600MS\/512G|внутренний||512 ГБ|mini-SATA||3D TLC NAND|500 МБ/с|550 МБ/с||1500 G|1 млн. ч||51x10 мм||Silicon Motion SM2259|5 лет|||150 ТБ|0.3 раз/день||80 тыс|90 тыс|||||||0740617315998||||
Transcend 830S M.2 TS1TMTS830S TS1TMTS830S|внутренний||1000 ГБ|M.2||3D TLC NAND|500 МБ/с|560 МБ/с|||2.5 млн. ч||22x80 мм|||5 лет|SATA 3||||||||||||Есть|||||
Apacer AS2280Q4 M.2 AP1TBAS2280Q4-1 AP1TBAS2280Q4-1|внутренний||1000 ГБ|M.2||3D TLC NAND|4400 МБ/с|5000 МБ/с||1500 G|1.5 млн. ч||22x80 мм||Phison PS5016-E16|3 года|PCI-E 4.0 4x|Есть||||||||||Есть||||||
Kingston DC600M SEDC600M/3840G SEDC600M\/3840G|внутренний|для сервера|3840 ГБ|"2.5"""||3D TLC NAND|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|92 г||5 лет|SATA 3||1 ТБ|7008 раз/день||59 тыс|94 тыс|||||||0740617334975||||
Transcend MTS820S M.2 TS960GMTS820S TS960GMTS820S|внутренний||960 ГБ|M.2||3D TLC NAND|500 МБ/с|550 МБ/с||1500 G|1 млн. ч||22x80 мм|||3 года|SATA 3||320 ТБ|0.3 раз/день||75 тыс|70 тыс||||||Есть|0760557843337||||
Apacer AS2280P4U M.2 AP256GAS2280P4U-1 AP256GAS2280P4U-1|внутренний||256 ГБ|M.2||3D TLC NAND|1200 МБ/с|3500 МБ/с||1500 G|1.8 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|170 ТБ|0.4 раз/день||315 тыс|210 тыс||||||Есть|||||
Transcend 420S TS480GMTS420S TS480GMTS420S|внутренний||480 ГБ|M.2||3D TLC NAND|480 МБ/с|530 МБ/с|||1 млн. ч||22x42 мм|8 г||3 года|SATA 3||160 ТБ|0.3 раз/день||75 тыс|50 тыс||||||Есть|||||
Colorful CN600 CN600 512GB CN600 512 ГБ|внутренний||512 ГБ|M.2||3D TLC NAND / 64-слойная /|1500 МБ/с|2000 МБ/с|||2 млн. ч||22x80 мм||Realtek RTS5760|3 года|PCI-E 3.0 4x|Есть|||||||||||Есть|||||
Crucial T700 CT1000T700SSD3 CT1000T700SSD3|внутренний||1000 ГБ|M.2||3D TLC NAND / Micron 232-layer /|9500 МБ/с|11700 МБ/с|||||||Phison|5 лет|PCI-E 5.0 4x|Есть|600 ТБ|0.3 раз/день||||||||||0649528935632||||
Netac NV2000 NT01NV2000-256-E4X NT01NV2000-256-E4X|внутренний||256 ГБ|M.2||3D TLC NAND|1000 МБ/с|2500 МБ/с||1500 G|2 млн. ч||22x80 мм|||3 года|PCI-E 3.0 4x|Есть|150 ТБ|0.6 раз/день||||||||||||||
Transcend ESD370C TS250GESD370C TS250GESD370C|внешний||250 ГБ|"1.8"""|USB C 3.2 gen2|3D TLC NAND|950 МБ/с|1050 МБ/с||||металл|97x54x13 мм|87 г||3 года||Есть||||||USB C – USB C и USB C – USB A||||||0760557850236||||
Silicon Power Xpower XS70 SP02KGBP44XS7005 SP02KGBP44XS7005|внутренний||2000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7300 МБ/с|||1.6 млн. ч||24.6x80x10.8 мм|33 г||5 лет|PCI-E 4.0 4x|Есть||||||||||Есть|Есть|||||
Apacer AST280 M.2 AP480GAST280-1 AP480GAST280-1|внутренний||480 ГБ|M.2||TLC|500 МБ/с|545 МБ/с||1500 G|1.5 млн. ч||22x80 мм|6 г||3 года|SATA 3|||||||||||||||||
Samsung PM983 MZQLB7T6HMLA MZQLB7T6HMLA|внутренний|для сервера|7680 ГБ|"2.5"""|U.2 / PCIe Gen3 x4 /|3D TLC NAND|2000 МБ/с|3100 МБ/с|||2 млн. ч||||Samsung Phoenix|5 лет||Есть||||||||||||||||
Team Group Vulcan Z T253TZ512G0C101 T253TZ512G0C101|внутренний||512 ГБ|"2.5"""|SATA 3|3D TLC NAND|470 МБ/с|540 МБ/с|||1 млн. ч||100x70x7 мм|45 г||3 года|||400 ТБ|0.8 раз/день||||||||||||||
Transcend SSD225S TS250GSSD225S TS250GSSD225S|внутренний||250 ГБ|"2.5"""|SATA 3|3D TLC NAND|330 МБ/с|500 МБ/с|||2 млн. ч||100x70x7 мм|45 г||3 года|||90 ТБ|0.3 раз/день||75 тыс|40 тыс||||||Есть|0760557858973||||
Netac NV3000 NT01NV3000-2T0-E4X NT01NV3000-2T0-E4X|внутренний||2000 ГБ|M.2||3D TLC NAND|2900 МБ/с|3300 МБ/с|||2 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|1200 ТБ|0.3 раз/день||280 тыс|320 тыс||||||Есть|||||
A-Data SE760 ASE760-512GU32G2-CTI ASE760-512GU32G2-CTI|внешний||512 ГБ|M.2|USB C 3.2 gen2|3D TLC NAND|800 МБ/с|1000 МБ/с||||металл|122x44x14 мм|95 г||3 года||||||||USB C – USB C и USB C – USB A||||||4710273772714, 4710273772721|ASE760-512GU32G2-CBK, ASE760-512GU32G2-CTI|||
Patriot Memory P400 P400P2TBM28H P400P2TBM28H|внутренний||2000 ГБ|M.2|||4400 МБ/с|4900 МБ/с|||2 млн. ч||22x80 мм|9 г||5 лет|PCI-E 4.0 4x|Есть|1600 ТБ|0.4 раз/день||500 тыс|550 тыс|||||Есть||0814914029152||||
Patriot Memory P220 P220S256G25 P220S256G25|внутренний||256 ГБ|"2.5"""|SATA 3|3D TLC NAND|490 МБ/с|550 МБ/с|||||100x70x7 мм||Phison S12|3 года|||120 ТБ|0.4 раз/день||50 тыс|40 тыс||||||Есть|4711378422344||||
Silicon Power Xpower XS70 SP04KGBP44XS7005 SP04KGBP44XS7005|внутренний||4000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7300 МБ/с|||1.6 млн. ч||24.6x80x10.8 мм|33 г||5 лет|PCI-E 4.0 4x|Есть||||||||||Есть|Есть|||||
Transcend 830S M.2 TS128GMTS830S TS128GMTS830S|внутренний||128 ГБ|M.2||3D TLC NAND|500 МБ/с|560 МБ/с|||2.5 млн. ч||22x80 мм|||5 лет|SATA 3||||||||||||Есть|||||
Samsung PM893 MZ7L31T9HBLT MZ7L31T9HBLT|внутренний|для сервера|1920 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|||3 года||||1.3 раз/день||31 тыс|98 тыс|||||||||||
Kingston XS1000 XS1000/2000G XS1000\/2000G|внешний||2000 ГБ||USB C 3.2 gen2|MLC|1000 МБ/с|1050 МБ/с||||пластик|70x33x14 мм|29 г||5 лет||||||||USB C – USB A||||||0740617338508||||
Hikvision G4000E HS-SSD-G4000E-1024G HS-SSD-G4000E-1024G|внутренний||1000 ГБ|M.2||3D TLC NAND|4200 МБ/с|5100 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть||||||||||||6931847106638||||
Transcend ESD310C TS1TESD310C TS1TESD310C|внешний||1000 ГБ||USB C 3.2 gen2||950 МБ/с|1050 МБ/с||||металл|71x20x8 мм|11 г||5 лет||||||||||||||||||
Team Group Vulcan Z T253TZ480G0C101 T253TZ480G0C101|внутренний||480 ГБ|"2.5"""|SATA 3|3D TLC NAND|470 МБ/с|540 МБ/с|||1 млн. ч||100x70x7 мм|45 г||3 года|||400 ТБ|0.8 раз/день||||||||||||||
Team Group Vulcan Z T253TZ256G0C101 T253TZ256G0C101|внутренний||256 ГБ|"2.5"""|SATA 3|3D TLC NAND|450 МБ/с|520 МБ/с|||1 млн. ч||100x70x7 мм|45 г||3 года|||200 ТБ|0.8 раз/день||||||||||||||
A-Data XPG SX6000 Pro M.2 ASX6000PNP-2TT-C ASX6000PNP-2TT-C|внутренний||2000 ГБ|M.2||3D TLC NAND / 64-layer /|1400 МБ/с|2100 МБ/с||1500 G|2 млн. ч||22x80 мм|8 г|Realtek RTS5763DL|5 лет|PCI-E 3.0 4x|Есть|1200 ТБ|0.3 раз/день||240 тыс|250 тыс||||||Есть|4710273778068||||
Samsung PM893 MZ7L33T8HBLT MZ7L33T8HBLT|внутренний|для сервера|3840 ГБ|"2.5"""|SATA 3|3D TLC NAND / Samsung V6 (128 Layer) TLC V-NAND /|530 МБ/с|560 МБ/с|||2 млн. ч||100x70x7 мм|||3 года||||1.3 раз/день||31 тыс|98 тыс|||||||||||
