|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
HP For Server 779162-B21 779162-B21|внутренний|для сервера|200 ГБ|"2.5"""|SAS|MLC|510 МБ/с|1000 МБ/с|||||70x100x15 мм|||||||||||||||||||||
HP For Server 816975-B21 816975-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|495 МБ/с|535 МБ/с||||||||||||||||||||||||||
HP For Server 717971-B21 717971-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
HP For Server 804599-B21 804599-B21|внутренний|для сервера|800 ГБ|"2.5"""|SATA 3|MLC|465 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 802891-B21 802891-B21|внутренний|для сервера|1920 ГБ|"3.5"""|SAS|MLC|510 МБ/с|1000 МБ/с||||||||||||||||||||||||||
HP For Server 804581-B21 804581-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC|135 МБ/с|480 МБ/с|||||70x100x15 мм|||||||||||||||||||||
HP For Server 846434-B21 846434-B21|внутренний|для сервера|800 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server P06196-B21 P06196-B21|внутренний|для сервера|960 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
LaCie Rugged USB 3.2 Gen 2 Type-C STHR4000800 STHR4000800|внешний||4000 ГБ||USB C 3.2 gen2|3D TLC NAND|1050 МБ/с|1050 МБ/с||||пластик / прорезиненный /|98x65x17 мм|100 г||||Есть||||||USB C – USB C и USB C – USB A|Есть||IP67|||||||
iStorage diskAshur M2 IS-DAM2-256-500 IS-DAM2-256-500|внешний||500 ГБ|M.2|USB 3.2 gen1|MLC|370 МБ/с|370 МБ/с||||пластик|106х45х12 мм|200 г||3 года|||||Есть|||||||||||||
Lexar NM710 LNM710X500G-RNNNG LNM710X500G-RNNNG|внутренний||500 ГБ|M.2||3D TLC NAND|2600 МБ/с|5000 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|300 ТБ|0.3 раз/день||||||||||||||
Lexar NM710 LNM710X002T-RNNNG LNM710X002T-RNNNG|внутренний||2000 ГБ|M.2||3D TLC NAND|4500 МБ/с|4850 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|1200 ТБ|0.3 раз/день||||||||||||||
HP For Server 691862-B21 691862-B21|внутренний|для сервера|100 ГБ|"2.5"""|SATA 3|MLC|185 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 728726-B21 728726-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC|130 МБ/с|410 МБ/с||||||||||||||||||||||||||
HP For Server 730051-B21 730051-B21|внутренний|для сервера|100 ГБ|"2.5"""|SATA 3|MLC|185 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 734360-B21 734360-B21|внутренний|для сервера|80 ГБ|"2.5"""|SATA 3|MLC|100 МБ/с|335 МБ/с||||||||||||||||||||||||||
HP For Server 734366-B21 734366-B21|внутренний|для сервера|80 ГБ|"2.5"""|SATA 3|MLC|100 МБ/с|335 МБ/с||||||||||||||||||||||||||
HP For Server 756621-B21 756621-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC|310 МБ/с|470 МБ/с||||||||||||||||||||||||||
HP For Server 756666-B21 756666-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC|470 МБ/с|470 МБ/с||||||||||||||||||||||||||
HP For Server 764925-B21 764925-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|325 МБ/с|420 МБ/с||||||||||||||||||||||||||
HP For Server 764927-B21 764927-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC|325 МБ/с|420 МБ/с||||||||||||||||||||||||||
HP For Server 764949-B21 764949-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|325 МБ/с|420 МБ/с||||||450 г||||||||||||||||||||
HP For Server 764951-B21 764951-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC|390 МБ/с|420 МБ/с||||||450 г||||||||||||||||||||
HP For Server 756633-B21 756633-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC|310 МБ/с|470 МБ/с||||||||||||||||||||||||||
HP For Server 730053-B21 730053-B21|внутренний|для сервера|200 ГБ|"2.5"""|SATA 3|MLC|350 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 764947-B21 764947-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC|205 МБ/с|430 МБ/с||||||450 г||||||||||||||||||||
HP For Server 718180-B21 718180-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|250 МБ/с|475 МБ/с||||||||||||||||||||||||||
HP For Server 756651-B21 756651-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|460 МБ/с|470 МБ/с||||||||||||||||||||||||||
HP For Server 756654-B21 756654-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|460 МБ/с|470 МБ/с||||||||||||||||||||||||||
HP For Server 756636-B21 756636-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|460 МБ/с|470 МБ/с||||||||||||||||||||||||||
HP For Server 586585-B21 586585-B21|внутренний|для сервера|60 ГБ|"2.5"""||SLC||||||||||||||||||||||||||||
HP For Server 586587-B21 586587-B21|внутренний|для сервера|120 ГБ|"2.5"""||SLC||||||||||||||||||||||||||||
HP For Server 816879-B21 816879-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC||||||||450 г||||||||||||||||||||
HP For Server 653078-B21 653078-B21|внутренний|для сервера|200 ГБ|"2.5"""|SAS|SLC||||||||||||||||||||||||||||
HP For Server 653082-B21 653082-B21|внутренний|для сервера|400 ГБ|"2.5"""|SAS|SLC||||||||||||||||||||||||||||
HP For Server 653112-B21 653112-B21|внутренний|для сервера|100 ГБ|"2.5"""||MLC||||||||||||||||||||||||||||
HP For Server 653118-B21 653118-B21|внутренний|для сервера|200 ГБ|"2.5"""||MLC||||||||||||||||||||||||||||
HP For Server 653120-B21 653120-B21|внутренний|для сервера|200 ГБ|"2.5"""||MLC||||||||||||||||||||||||||||
HP For Server 690825-B21 690825-B21|внутренний|для сервера|200 ГБ|"2.5"""|SAS|MLC|150 МБ/с|370 МБ/с|||||70x100x15 мм|||||||||||||||||||||
HP For Server 690827-B21 690827-B21|внутренний|для сервера|400 ГБ|"2.5"""|SAS|MLC|150 МБ/с|370 МБ/с|||||70x100x7 мм|||||||||||||||||||||
HP For Server 691864-B21 691864-B21|внутренний|для сервера|200 ГБ|"2.5"""|SATA 3|MLC|350 МБ/с|480 МБ/с|||||70x100x15 мм|||||||||||||||||||||
HP For Server 741151-B21 741151-B21|внутренний|для сервера|200 ГБ|"2.5"""|SAS|MLC|520 МБ/с|960 МБ/с|||||70x100x15 мм|||||||||||||||||||||
HP For Server 764923-B21 764923-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC|205 МБ/с|450 МБ/с|||||70x100x15 мм|||||||||||||||||||||
HP For Server 816965-B21 816965-B21|внутренний|для сервера|120 ГБ|"2.5"""|SATA 3|MLC|475 МБ/с|510 МБ/с||||||||||||||||||||||||||
HP For Server 816899-B21 816899-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC|405 МБ/с|530 МБ/с||||||||||||||||||||||||||
HP For Server 789135-B21 789135-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
HP For Server 804613-B21 804613-B21|внутренний|для сервера|200 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
HP For Server 762261-B21 762261-B21|внутренний|для сервера|800 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server 739898-B21 739898-B21|внутренний|для сервера|600 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
HP For Server 717973-B21 717973-B21|внутренний|для сервера|800 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
HP For Server 822555-B21 822555-B21|внутренний|для сервера|400 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server 804587-B21 804587-B21|внутренний|для сервера|240 ГБ|"2.5"""|SATA 3|MLC|265 МБ/с|480 МБ/с||||||||||||||||||||||||||
HP For Server 802582-B21 802582-B21|внутренний|для сервера|400 ГБ|"2.5"""|SAS|MLC|660 МБ/с|1000 МБ/с||||||||||||||||||||||||||
HP For Server 802578-B21 802578-B21|внутренний|для сервера|200 ГБ|"2.5"""|SAS|MLC|660 МБ/с|1000 МБ/с||||||||||||||||||||||||||
HP For Server 832414-B21 832414-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|MLC||||||||||||||||||||||||||||
HP For Server 741155-B21 741155-B21|внутренний|для сервера|400 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server P09712-B21 P09712-B21|внутренний|для сервера|480 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server P04564-B21 P04564-B21|внутренний|для сервера|960 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server P04556-B21 P04556-B21|внутренний|для сервера|240 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server P18434-B21 P18434-B21|внутренний|для сервера|960 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP For Server P18438-B21 P18438-B21|внутренний|для сервера|3840 ГБ|"2.5"""|SAS|MLC||||||||||||||||||||||||||||
HP P40 P40498-B21 P40498-B21|внутренний|для сервера|960 ГБ|"2.5"""|SATA 3|3D NAND|480 МБ/с|520 МБ/с||||||||3 года||||||15 тыс|65 тыс|||||||||||
Transcend ESD410C TS4TESD410C TS4TESD410C|внешний||4000 ГБ||USB C 3.2 gen2x2|3D NAND|2000 МБ/с|2000 МБ/с|||||79x42x14.5 мм|65 г||5 лет||||||||USB C – USB C и USB C – USB A|Есть|Есть|IPX5|||||||
Corsair MP600 PRO LPX CSSD-F8000GBMP600PLP CSSD-F8000 ГБMP600PLP|внутренний||8000 ГБ|M.2||3D TLC NAND|6100 МБ/с|7000 МБ/с|||1.8 млн. ч||23x80x11 мм|||5 лет|PCI-E 4.0 4x|Есть|||Есть|||||||Есть||||||
MSI SPATIUM M460 PCIe 4.0 NVMe M.2 HS S78-440Q420-P83 S78-440Q420-P83|внутренний||2000 ГБ|M.2||3D NAND|4400 МБ/с|4900 МБ/с|||1.5 млн. ч||23x80x20.4 мм||PHISON E21T|5 лет|PCI-E 4.0 4x|Есть|1200 ТБ|0.3 раз/день||950 тыс|525 тыс|||||Есть|Есть|||||
AFOX M.2 TLC NVMe x4 ME300-1000GN ME300-1000GN|внутренний||1000 ГБ|M.2||3D TLC NAND|1500 МБ/с|1750 МБ/с|||||22x80 мм|||3 года|PCI-E 3.0 4x|Есть||||||||||||||||
Corsair MP700 PRO Hydro X CSSD-F2000GBMP700PHX CSSD-F2000 ГБMP700PHX|внутренний||2000 ГБ|M.2||3D TLC NAND / Micron 232-Layer /|11800 МБ/с|12400 МБ/с|4096 МБ / Hynix LPDDR4-4266 /||1.6 млн. ч||||Phison PS5026-E26|5 лет|PCI-E 5.0 4x|Есть|1400 ТБ|0.4 раз/день|Есть|1600 тыс|1500 тыс|||||Есть|Есть|||||
OCPC XTL-200 SSD25S3T512GLT SSD25S3T512GLT|внутренний||512 ГБ|"2.5"""||3D NAND / TLC/QLC /|450 МБ/с|520 МБ/с|||||100x70x7 мм|||3 года|SATA 3|||||||||||||||||
Patriot Memory P400 Lite P400LP500GM28H P400LP500GM28H|внутренний||500 ГБ|M.2||3D NAND|2400 МБ/с|3500 МБ/с|||||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|280 ТБ|0.3 раз/день||500 тыс|220 тыс|||||||||||
OCPC MFL-300 SSDM2PCIEF512G SSDM2PCIEF512G|внутренний||512 ГБ|M.2||3D NAND|2700 МБ/с|3100 МБ/с|||||22x80 мм|||3 года|PCI-E 3.0 4x|Есть||||110 тыс|150 тыс||||||Есть|||||
