|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Corsair Vengeance SO-DIMM DDR4 1x16Gb CMSX16GX4M1A3200C22|16 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-53|1.2 В|без охлаждения|стандартный||||||0840006642299
Corsair Vengeance SO-DIMM DDR4 2x16Gb CMSX32GX4M2A2933C19|32 ГБ|2 шт|SO-DIMM|DDR4|2933 МГц|23400 МБ/с|CL19|19-19-19-47|1.2 В|без охлаждения|стандартный||||||0840006633396
G.Skill Trident Z Neo DDR4 2x8Gb F4-2666C18D-16GTZN|16 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL18|18-18-18-43|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|
HyperX Fury Black DDR4 1x16Gb HX426C16FB3\/16|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34.1 мм|двухранговая||
Team Group Elite SO-DIMM DDR3 1x8Gb TED38G1333C9-S01|8 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-24|1.5 В|без охлаждения|стандартный||||||
G.Skill Value DDR4 2x8Gb F4-2400C15D-16GNS|16 ГБ|2 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL15|15-15-15-35|1.2 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP|||двухранговая||
Team Group T-Force Delta RGB 1x16Gb TF3D416G3200HC16F01|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|TF3D416G3200HC16F01, TF4D416G3200HC16F01||||
Team Group T-Force Delta RGB 1x16Gb TF3D416G3600HC18J01|16 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|TF3D416G3600HC18J01, TF4D416G3600HC18J01||||
A-Data Notebook Premier DDR4 1x32Gb AD4S266632G19-SGN|32 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Apacer Panther DDR4 1x8Gb AH4U08G32C28Y7GAA-1|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|||||
Kingston ValueRAM DDR2 KVR800D2N5K2\/4G|4 ГБ|2 шт|DIMM|DDR2|800 МГц|6400 МБ/с|||1.8 В|без охлаждения|стандартный||||||
Kingston ValueRAM DDR2 KVR533D2N4\/2G|2 ГБ|1 шт|DIMM|DDR2|533 МГц|4200 МБ/с|||1.8 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Corsair Vengeance DDR5 2x16Gb CMK32GX5M2B7000C40|32 ГБ|2 шт|DIMM|DDR5|7000 МГц|56000 МБ/с|CL40|40-52-52-114|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||
G.Skill Trident Z RGB DDR4 2x16Gb F4-4000C18D-32GTZR|32 ГБ|2 шт|DIMM|DDR4|4000 МГц|32000 МБ/с|CL18|18-22-22-42|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм|одноранговая|multi compatibility|
GOODRAM IRDM DDR5 2x32Gb IR-5600D564L30\/64GDC|64 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL30|30-36-36-89|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||31.25 мм|||5908267964903
Team Group Elite DDR3 1x8Gb TED38G1600C1101|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-28|1.5 В|радиатор|стандартный||||||
Crucial Ballistix DDR4 2x16Gb BL2K16G30C15U4B|32 ГБ|2 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL15||1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|BL2K16G30C15U4B, BL2K16G30C15U4R, BL2K16G30C15U4W|41 мм|||
Crucial MTA DDR4 1x16Gb MTA18ASF2G72AZ-2G6E2|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||
Apacer Panther DDR4 1x16Gb AH4U16G32C28Y7GAA-1|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|||||
GOODRAM IRDM DDR5 2x16Gb IR-5600D564L30S\/32GDC|32 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL30|30-36-36-76|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||31.25 мм|||5908267964897
A-Data LANCER DDR5 2x16Gb AX5U5600C3616G-DCLABK|32 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-36-36|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||40 мм|одноранговая||
Micron DDR4 1x32Gb MTA18ASF4G72PZ-3G2|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA18ASF4G72PZ-3G2B1, MTA18ASF4G72PZ-3G2E1, MTA18ASF4G72PZ-3G2F1||одноранговая||0649528823069, 0649528900395, 0649528927255, 0649528928542, 4540395728562
A-Data XPG Gammix D30 DDR4 1x8Gb AX4U32008G16A-SR30|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||44.7 мм|||
G.Skill Trident Z Royal DDR4 2x8Gb F4-4266C19D-16GTRG|16 ГБ|2 шт|DIMM|DDR4|4266 МГц|34100 МБ/с|CL19|19-19-19-39|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|F4-4266C19D-16GTRG, F4-4266C19D-16GTRS|44 мм|||
A-Data XPG Spectrix D60G DDR4 RGB 2x8Gb AX4U320038G16-DT60|16 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||48 мм||multi compatibility|
Kingston KSM HDR DDR4 1x32Gb KSM29RD4\/32HDR|32 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
OCPC PISTA DDR5 2x8Gb MMPT2K16GD556C36T|16 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-38-38-76|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|||||0781930229739
Micron DDR4 1x32Gb MTA18ASF4G72AZ-3G2|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|MTA18ASF4G72AZ-3G2B1, MTA18ASF4G72AZ-3G2F1||двухранговая||0649528790231, 0649528926807, 0649528926845, 0649528929174, 4540395730022
Patriot Memory Signature Premium 2x32Gb PSP464G3200KH1|64 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22-52|1.2 В|радиатор|стандартный|||37 мм|||0814914027189
G.Skill Trident Z5 RGB DDR5 2x32Gb F5-6400J3239G32GX2-TZ5RS|64 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-39-39-102|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|F5-6400J3239G32GX2-TZ5RK, F5-6400J3239G32GX2-TZ5RS, F5-6400J3239G32GX2-TZ5RW|||multi compatibility|0848354040255, 4713294230256, 4713294230263
G.Skill Trident Z5 RGB DDR5 2x24Gb F5-6000J4048F24GX2-TZ5RK|48 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL40|40-48-48-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
OCPC PISTA DDR5 2x8Gb MMPT2K16GD552C36T|16 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL36|36-38-38-74|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|||||0781930229784
Kingston Fury Renegade Pro DDR5 4x16Gb KF560R32RBK4-64|64 ГБ|4 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL32|32-38-38|1.35 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка буферизации (Registered)||31.25 мм|одноранговая||0740617335620
G.Skill Ripjaws V DDR4 4x8Gb F4-4000C18Q-32GVK|32 ГБ|4 шт|DIMM|DDR4|4000 МГц|32000 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42 мм|||
G.Skill Value DDR4 1x8Gb F4-2400C17S-8GNT|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17-39|1.2 В|без охлаждения|стандартный||||||
Transcend DDR4 1x8Gb TS1GLH64V6B|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||одноранговая||
A-Data LANCER RGB DDR5 2x16Gb AX5U6400C3216G-DCLARBK|32 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-39-39|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|AX5U6400C3216G-DCLARBK, AX5U6400C3216G-DCLARWH|40 мм||multi compatibility|4711085940759, 4711085940773
Corsair Vengeance LPX DDR4 2x16Gb CMK32GX4M2A2666C16|32 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18-35|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|CMK32GX4M2A2666C16, CMK32GX4M2A2666C16R, CMK32GX4M2A2666C16W|33 мм|двухранговая||0843591069557, 0843591070614, 0843591088398, 4058154154069
Kingston Fury Beast DDR4 4x16Gb KF426C16BBK4\/64|64 ГБ|4 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34 мм|одноранговая||0740617320107
Kingston Fury Beast DDR5 RGB 2x8Gb KF552C36BBEAK2-16|16 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL36|36-38-38|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||42.23 мм|одноранговая|multi compatibility|0740617331981
Crucial MTA DDR4 1x16Gb MTA9ASF2G72AZ-3G2B1|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|||одноранговая||
G.Skill Ripjaws DDR5 SO-DIMM 2x16Gb F5-5200S3838A16GX2-RS|32 ГБ|2 шт|SO-DIMM|DDR5|5200 МГц|41600 МБ/с|CL38|38-38-38|1.1 В|без охлаждения|стандартный||F5-5200S3838A16GA2-RS, F5-5200S3838A16GX2-RS||||4713294232366
G.Skill Trident Z Royal DDR4 2x8Gb F4-4400C18D-16GTRS|16 ГБ|2 шт|DIMM|DDR4|4400 МГц|35200 МБ/с|CL18|18-19-19-39|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|F4-4400C18D-16GTRG, F4-4400C18D-16GTRS|44 мм|||
Team Group Elite DDR3 1x4Gb TED34G1333C901|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9-24|1.5 В|радиатор|стандартный||TED34G1333C901, TED34G1333C9BK, TED34GM1333C9BK||||
Kingston ValueRAM SO-DIMM DDR4 1x4Gb KVR21SE15S8\/4|4 ГБ|1 шт|SO-DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Kingston ValueRAM DDR4 1x32Gb KVR24R17D4\/32|32 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||31.2 мм|двухранговая||
Patriot Memory Signature DDR4 1x8Gb PSD48G266682H|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|без охлаждения|стандартный|||32 мм|||
Kingston ValueRAM SO-DIMM DDR4 1x4Gb KCP426SS6\/4|4 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||
A-Data XPG Spectrix D41 DDR4 1x16Gb AX4U3200316G16A-SR41|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|AX4U3200316G16A-SR41, AX4U3200316G16A-ST41|45.8 мм||multi compatibility|
A-Data XPG Spectrix D60G DDR4 RGB 2x8Gb AX4U36008G18I-DT60|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||48 мм||multi compatibility|
Transcend JetRam DDR4 SO-DIMM 1x4Gb JM2666HSD-4G|4 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Kingston Fury Renegade RGB DDR4 1x32Gb KF432C16RBA\/32|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-19-19|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||42.2 мм|двухранговая|multi compatibility|
Geil EVO X II DDR4 GEXSB432 ГБ3600C18BDC|32 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
PNY XLR8 EPIC-X RGB 2x8Gb MD16GK2D4400018XRGB|16 ГБ|2 шт|DIMM|DDR4|4000 МГц|32000 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|0751492645766
Corsair Vengeance RGB RS 2x16Gb CMG32GX4M2E3200C16|32 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||Corsair iCUE|0840006649038
G.Skill Flare X5 DDR5 2x16Gb F5-5600J3036D16GX2-FX5|32 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL30|30-36-36-89|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO||33 мм|||4713294232731
G.Skill Flare X5 DDR5 2x16Gb F5-5200J3636C16GX2-FX5|32 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL36|36-36-36-83|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO||33 мм|||4713294230218
Kingston KSM MER DDR4 1x32Gb KSM32RD8\/32MER|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Kingston KSM HAR DDR4 1x64Gb KSM29RD4\/64HAR|64 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Corsair Vengeance RGB DDR5 2x32Gb CMH64GX5M2B5600Z36|64 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-36-36-76|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO||||Corsair iCUE|
Corsair Vengeance LPX DDR4 2x8Gb CMK16GX4M2B3000C15|16 ГБ|2 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL15|15-17-17-35|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|CMK16GX4M2B3000C15, CMK16GX4M2B3000C15B, CMK16GX4M2B3000C15R, CMK16GX4M2B3000C15W|33 мм|одноранговая||0843591070010
Corsair Vengeance RGB DDR5 2x48Gb CMH96GX5M2B5200C38|96 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL38|38-38-38-84|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||56 мм||Corsair iCUE|0840006664994
Kingston KVR ValueRAM DDR4 1x16Gb KVR24E17D8\/16|16 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка ECC||31.2 мм|двухранговая||
Team Group Elite DDR3 1x4Gb TED3L4G1333C901|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный||||||
Crucial Ballistix DDR4 1x8Gb BL8G30C15U4B|8 ГБ|1 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL15|15-16-16-35|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|BL8G30C15U4B, BL8G30C15U4R, BL8G30C15U4W|41 мм|||
Transcend JetRam DDR4 2x8Gb JM2666HLG-16G|16 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Corsair Dominator Platinum RGB DDR5 2x32Gb CMT64GX5M2B5600Z36|64 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-36-36-76|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||||multi compatibility|
HP DDR4 DIMM 1x16Gb 879507-B21|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||
Corsair Dominator Titanium RGB DDR5 2x32Gb CMP64GX5M2B6400C32|64 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-40-40-84|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMP64GX5M2B6400C32, CMP64GX5M2B6400C32W|||Corsair iCUE|0840006674450, 0840006674467
G.Skill Trident Z RGB DDR4 2x8Gb F4-3600C16D-16GTZRC|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL16|16-19-19-39|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм|одноранговая|multi compatibility|4713294223487
G.Skill Trident Z DDR4 2x8Gb F4-3600C17D-16GTZ|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL17|17-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|F4-3600C17D-16GTZ, F4-3600C17D-16GTZKW, F4-3600C17D-16GTZSW|44 мм|||4719692008466, 4719692013866
OCPC PISTA DDR5 2x16Gb MMPT2K32GD552C40T|32 ГБ|2 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL40|40-40-40-76|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|||||0633710589086
Kingston Fury Renegade Pro DDR5 1x32Gb KF556R36RB-32|32 ГБ|1 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-38-38|1.25 В|без охлаждения|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка буферизации (Registered)||31.25 мм|одноранговая||0740617335576
Corsair Vengeance DDR5 2x48Gb CMK96GX5M2B5600C40|96 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL40|40-40-40-77|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||35 мм|||0840006665045
G.Skill Trident Z RGB DDR4 4x32Gb F4-3600C18Q-128GTZR|128 ГБ|4 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|
HyperX Predator DDR4 1x16Gb HX433C16PB3\/16|16 ГБ|1 шт|DIMM|DDR4|3333 МГц|26600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|двухранговая||
A-Data XPG Spectrix D60G DDR4 RGB 1x8Gb AX4U320038G16A-ST60|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||48 мм||multi compatibility|
Kingston KVR ValueRAM DDR4 1x4Gb KVR26N19S6L\/4|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|низкий||||одноранговая||
Team Group T-FORCE Delta RGB DDR5 2x24Gb FF3D596G6800HC36DDC01|48 ГБ|2 шт|DIMM|DDR5|6800 МГц|54400 МБ/с|CL36|36-46-46-84|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
Team Group Elite DDR5 1x16Gb TED516G5600C4601|16 ГБ|1 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL46|46-46-46-90|1.1 В|без охлаждения|стандартный||||||
Kingston Fury Renegade DDR4 1x32Gb KF432C16RB\/32|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-19-19|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|двухранговая||0740617308334, 0740617322026
G.Skill Ripjaws V DDR4 4x8Gb F4-3200C16Q-32GVKB|32 ГБ|4 шт|DIMM|DDR4|3200 МГц|25600 МБ/с||16-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42 мм|двухранговая||
Kingston Fury Beast DDR4 RGB Special Edition 1x8Gb KF432C16BWA\/8|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||45.8 мм|одноранговая|multi compatibility|
Team Group Elite DDR3 1x8Gb TED38G1333C901|8 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9||1.5 В|без охлаждения|стандартный||||||
Patriot Memory Signature DDR4 1x8Gb PSD48G213382|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|||32 мм|||
Patriot Memory Signature Premium 2x4Gb PSP48G2666KH1|8 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19-43|1.2 В|радиатор|стандартный|||37 мм|одноранговая||
HyperX Fury DDR4 RGB 4x32Gb HX436C18FB3AK4\/128|128 ГБ|4 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||41.24 мм||multi compatibility|
Kingston KSM HDR DDR4 1x16Gb KSM29RD8\/16HDR|16 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
A-Data U-DIMM DDR5 2x8Gb AD5U48008G-DT|16 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40|1.1 В|без охлаждения|стандартный||||||
A-Data U-DIMM DDR5 2x16Gb AD5U480016G-DT|32 ГБ|2 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-40-40|1.1 В|без охлаждения|стандартный||||||
HyperX Fury Black DDR4 2x16Gb HX424C15FB3K2\/32|32 ГБ|2 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL15|15-15-15|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34.1 мм|двухранговая||
A-Data LANCER RGB DDR5 2x16Gb AX5U5600C3616G-DCLARBK|32 ГБ|2 шт|DIMM|DDR5|5600 МГц|44800 МБ/с|CL36|36-36-36|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||40 мм||multi compatibility|
Micron DDR4 1x8Gb MTA9ASF1G72PZ-3G2|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA9ASF1G72PZ-3G2E1, MTA9ASF1G72PZ-3G2E2, MTA9ASF1G72PZ-3G2J1, MTA9ASF1G72PZ-3G2J3, MTA9ASF1G72PZ-3G2R1||одноранговая||0649528821409, 0649528905499, 0649528920850, 0649528929082, 4540395729521
Kingston Fury Beast DDR5 RGB 1x16Gb KF552C36BBEA-16|16 ГБ|1 шт|DIMM|DDR5|5200 МГц|41600 МБ/с|CL36|36-40-40|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|KF552C36BBEA-16, KF552C36BWEA-16|42.23 мм|одноранговая|multi compatibility|0740617330908, 0740617333657
A-Data XPG Spectrix D50 DDR4 RGB 1x32Gb AX4U320032G16A-ST50|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||40 мм||multi compatibility|
Kingston KVR ValueRAM DDR4 1x16Gb KVR21N15D8\/16|16 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|||31.2 мм|двухранговая||
Patriot Memory Viper RGB DDR4 2x8Gb PVR416G320C6K|16 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-36|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|PVR416G320C6K, PVR416G320C6KW|45.4 мм||multi compatibility|
Crucial Value DDR4 1x4Gb CT4G4DFS8266|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
HyperX Predator DDR4 1x16Gb HX426C13PB3\/16|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL13|13-15-15|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|двухранговая||
