|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Patriot Memory Viper Elite DDR5 2x48Gb PVER596G60C42KW|96 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL42|42-42-42-82|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||44 мм||multi compatibility|
Patriot Memory Viper Elite DDR5 2x32Gb PVER564G62C42KW|64 ГБ|2 шт|DIMM|DDR5|6200 МГц|49600 МБ/с|CL42|42-46-46-86|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||44 мм||multi compatibility|
Kingston ValueRAM SO-DIMM DDR/DDR2 KVR800D2S6K2\/4G|4 ГБ|2 шт|SO-DIMM|DDR2|800 МГц|6400 МБ/с|||1.8 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR3 1x8Gb KTA-MB1333\/8G|8 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|||1.5 В|без охлаждения|стандартный||||||
HyperX Fury DDR3 2x4Gb HX313C9FBK2\/8|8 ГБ|2 шт|DIMM|DDR3|1333 МГц|10666 МБ/с|CL9|9-9-9-27|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|HX313C9FBK2/8, HX313C9FK2/8, HX313C9FRK2/8, HX313C9FWK2/8|32.8 мм|||
HP DDR3 DIMM 1x4Gb 593339-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|593339-B21, 595424-001||||
Kingston ValueRAM DDR2 KTH-MLG4\/4G|2 ГБ|2 шт|DIMM|DDR2|400 МГц|3200 МБ/с||2.5-3-3-8|2.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston ValueRAM DDR2 KTH-MLG4SR\/4G|2 ГБ|2 шт|DIMM|DDR2|400 МГц|3200 МБ/с|CL3|3-3-3-8|1.8 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Crucial DDR3 SO-DIMM 1x4Gb CT51264BF186DJ|4 ГБ|1 шт|SO-DIMM|DDR3|1866 МГц|14900 МБ/с|CL13|13-13-13|1.35 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR4 1x4Gb KCP421SS8\/4|4 ГБ|1 шт|SO-DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Samsung DDR3 1x16Gb M393B2G70EB0-YK0|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston ValueRAM DDR3 1x4Gb KCP313NS8\/4|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|||30 мм|||
Samsung DDR3 1x8Gb M393B1G70EB0-YK0|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 SODIMM Z4Y84AA|4 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||
HyperX Fury Black DDR4 1x4Gb HX424C15FB3\/4|4 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL15|15-15-15|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34.1 мм|одноранговая||
HyperX Fury Black DDR4 1x16Gb HX432C16FB3\/16|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||34.1 мм|двухранговая||
Kingston ValueRAM DDR3 1x16Gb KTH-PL316\/16G|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11||1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||30 мм|||
HP 1.5V DDR3 DIMM 1x8Gb J9P82AA|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
HP DDR4 DIMM 1x32Gb P19043-B21|32 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Synology DDR4 SO-DIMM 1x4Gb D4ES02-4G|4 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный|поддержка ECC|||||
Micron DDR5 1x64Gb MTC40F2046S1RC48B|64 ГБ|1 шт|DIMM|DDR5|4800 МГц|38400 МБ/с|CL40|40-39-39|1.1 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTC40F2046S1RC48BA1||двухранговая||
A-Data Lancer Blade RGB DDR5 2x32Gb AX5U6000C3032G-DTLABRBK|64 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-40-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|AX5U6000C3032G-DTLABRBK, AX5U6000C3032G-DTLABRWH|40 мм||multi compatibility|
A-Data Lancer Blade RGB DDR5 2x32Gb AX5U6400C3232G-DTLABRBK|64 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-39-39|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|AX5U6400C3232G-DTLABRBK, AX5U6400C3232G-DTLABRWH|40 мм||multi compatibility|
Dell Precision Mobile Workstation 7750 DDR4 1x8Gb SNP6VDX7C\/8G|8 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22||1.2 В|без охлаждения|стандартный||AA937595||одноранговая||
