|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
ASRock Radeon RX 6650 XT Challenger D 8GB OC RX6650XT CLD 8GO|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|175 Вт|8 pin|2|269 мм|AMD Radeon RX 6650 XT|8 ГБ|GDDR6|128 бит|2669 МГц|17500 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||RX6650XT CLD 8GO|v.2.1|v.1.4a|550 Вт|Есть||||||||||||||
Asus GeForce RTX 3070 DUAL V2 LHR DUAL-RTX3070-8G-V2|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|267 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1755 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||2 шт|2 шт|21358 балл(ов)|DUAL-RTX3070-8G-V2|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||||||||||
Asus GeForce RTX 3060 Ti Dual OC 8GB GDDR6X DUAL-RTX3060TI-O8GD6X|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2|230 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6X|256 бит|1710 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|DUAL-RTX3060TI-O8GD6X|v.2.1|v.1.4a|750 Вт|Есть||||||||||||||
Asus GeForce GTX 1650 TUF O4GD6-P-GAMING TUF-GTX1650-O4GD6-P-GAMING|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)||6 pin|2|206 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR6|128 бит|1785 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)|TUF-GTX1650-O4GD6-P-GAMING|v.2.0b|v.1.4|300 Вт|||||||||||||||
Gigabyte GeForce GTX 1660 Ti OC 6G GV-N166TOC-6GD|PCI-E v3.0||||3 шт|4|активное (кулер)||8 pin|2|226 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1800 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|1 шт|2 шт|11730 балл(ов)|GV-N166TOC-6GD|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
MSI GeForce RTX 3060 Ti VENTUS 2X 8G OCV1 LHR|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|235 мм|NVIDIA GeForce RTX 3060 Ti / LHR /|8 ГБ|GDDR6|256 бит|1695 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)||v.2.1|v.1.4a|650 Вт|Есть|Есть|||||||||||||
Asus GeForce RTX 3070 Ti ROG STRIX OC ROG-STRIX-RTX3070TI-O8G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 + 8 pin|3|319 мм|NVIDIA GeForce RTX 3070 Ti|8 ГБ|GDDR6X|256 бит|1875 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||2 шт|3 шт|22492 балл(ов)|ROG-STRIX-RTX3070TI-O8G-GAMING|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||Asus Aura Sync||||||||
Gigabyte GeForce RTX 3060 VISION OC LHR 12G GV-N3060VISION OC-12GD 2.0 LHR|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|280 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1837 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|2 шт|3 шт|16618 балл(ов)|GV-N3060VISION OC-12GD 2.0 LHR|v.2.1|v.1.4a|550 Вт|Есть|Есть|Ampere|Есть|||Gigabyte RGB Fusion|||||4719331309350|||
Gigabyte GeForce RTX 4090 GAMING OC 24G GV-N4090GAMING OC-24GD|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.7|340 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||1 шт|3 шт||GV-N4090GAMING OC-24GD|v.2.1|v.1.4|1000 Вт|Есть|||Есть|||Gigabyte RGB Fusion||||||||
Asus GeForce RTX 4070 Ti ROG Strix 12GB GDDR6X ROG-STRIX-RTX4070TI-12G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|336 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||2 шт|3 шт|34587 балл(ов)|ROG-STRIX-RTX4070TI-12G-GAMING|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync||||||||
Asus GeForce GTX 1660 Ti TUF Gaming EVO TOP TUF-GTX1660TI-T6G-EVO-GAMING|PCI-E v3.0||1 шт||1 шт|4|активное (кулер)||8 pin|2.2|206 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1845 МГц|14000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|2 шт|2 шт|11730 балл(ов)|TUF-GTX1660TI-T6G-EVO-GAMING|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
Asus GeForce RTX 3070 Ti TUF Gaming OC TUF-RTX3070TI-O8G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|300 мм|NVIDIA GeForce RTX 3070 Ti|8 ГБ|GDDR6X|256 бит|1815 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||2 шт|3 шт|22492 балл(ов)|TUF-RTX3070TI-O8G-GAMING|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||Asus Aura Sync||||||||
MSI GeForce RTX 4070 Ti VENTUS 3X 12G OC|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|308 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2655 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 3060 Ti Dual V2 Mini LHR DUAL-RTX3060TI-8G-MINI-V2|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2|200 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1695 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|DUAL-RTX3060TI-8G-MINI-V2|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||||||||||
MSI Radeon RX 6600 MECH 2X 8G|PCI-E v4.0||||3 шт|4|активное (кулер)|132 Вт|8 pin|2|235 мм|AMD Radeon RX 6600|8 ГБ|GDDR6|128 бит|2491 МГц|14000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|1792|||1 шт|2 шт|19008 балл(ов)||v.2.1|v.1.4a|500 Вт|Есть||||||||||||||
Palit GeForce RTX 3080 GamingPro 12GB LHR NED3080019KB-132AA|PCI-E v4.0||||3 шт|4|активное (кулер)|350 Вт|8 + 8 pin|2.7|294 мм|NVIDIA GeForce RTX 3080|12 ГБ|GDDR6X|384 бит|1710 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8960|||1 шт|3 шт||NED3080019KB-132AA|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||||||||||
Sapphire Radeon RX 6700 XT NITRO+|PCI-E v4.0||||3 шт|4|активное (кулер)|230 Вт|6 + 8 pin|2.5|310 мм|AMD Radeon RX 6700 XT|12 ГБ|GDDR6|192 бит|2581 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2560||160|1 шт|3 шт|18878 балл(ов)||v.2.1|v.1.4a|650 Вт|Есть||||||||Есть||||||
MSI GeForce RTX 3060 Ti VENTUS 2X 8GD6X OC|PCI-E v4.0||||3 шт|4|активное (кулер)|225 Вт|8 + 8 pin|2.5|232 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6X|256 бит|1695 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)||v.2.1|v.1.4a|600 Вт|Есть||||||||||||||
Gigabyte GeForce RTX 3050 GAMING OC 8G GV-N3050GAMING OC-8GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|282 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит||14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||2 шт|3 шт||GV-N3050GAMING OC-8GD|v.2.1|v.1.4a|450 Вт|Есть||||||||||||||
AFOX GeForce GTX 750 Ti AF750Ti-4096D5H1|PCI-E v3.0||1 шт|||2|активное (кулер)||6 pin|2|180 мм|NVIDIA GeForce GTX 750 Ti|4 ГБ|GDDR5|128 бит|1020 МГц|5400 МГц|28 нм|2560x1600 пикс|11|4.4|640|5|40|1 шт|2 шт|||||400 Вт||||||||||1 шт|||||
MSI GeForce RTX 4070 Ti GAMING TRIO 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|337 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
ASRock Radeon RX 5700 XT Challenger D 8G OC RX5700XT CLD 8GO|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2|281 мм|AMD Radeon RX 5700 XT|8 ГБ|GDDR6|256 бит|1905 МГц|14000 МГц|7 нм|7680x4320 пикс|12|4.6|2560||160|1 шт|2 шт|12813 балл(ов)|RX5700XT CLD 8GO|v.2.0b|v.1.4||Есть||Navi (RDNA)||||||||||||
Asus GeForce RTX 2080 SUPER TURBO EVO TURBO-RTX2080S-8G-EVO|PCI-E v3.0||||3 шт|4|активное (кулер)||8 + 8 pin|2|268 мм|NVIDIA GeForce RTX 2080 SUPER|8 ГБ|GDDR6|256 бит|1845 МГц|15500 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|3072||192|1 шт|1 шт|16105 балл(ов)|TURBO-RTX2080S-8G-EVO|v.2.0b|v.1.4|650 Вт|Есть||||||||Есть||||||
Palit GeForce RTX 3060 Ti Dual V1 LHR NE6306T019P2-190AD LHR|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|247 мм|NVIDIA GeForce RTX 3060 Ti / LHR /|8 ГБ|GDDR6|256 бит|1665 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|NE6306T019P2-190AD LHR|v.2.1|v.1.4a|550 Вт|Есть|Есть||Есть|||||||||||
Asus GeForce RTX 4070 Ti ROG Strix 12GB GDDR6X OC ROG-STRIX-RTX4070TI-O12G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|336 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2790 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||2 шт|3 шт|34587 балл(ов)|ROG-STRIX-RTX4070TI-O12G-GAMING|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync|||||4711081958895|||
Palit GeForce RTX 3060 StormX 12GB NE63060019K9-190AF|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 pin|2|170 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1777 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584|||1 шт|1 шт|16618 балл(ов)|NE63060019K9-190AF|v.2.1|v.1.4a|550 Вт|Есть||||||||||||||
Palit GeForce GTX 1630 Dual NE6163001BG6-1175D|PCI-E v3.0||||2 шт|3|активное (кулер)|75 Вт|6 pin|2|174 мм|NVIDIA GeForce GTX 1630|4 ГБ|GDDR6|64 бит|1785 МГц|12000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|512|||1 шт|2 шт||NE6163001BG6-1175D|v.2.0b|v.1.4a|300 Вт|||||||||||||||
ZOTAC GeForce RTX 4090 AMP Extreme AIRO ZT-D40900B-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|450 Вт|16 pin|3.5|356 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2580 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||1 шт|3 шт||ZT-D40900B-10P|v.2.1|v.1.4a|1000 Вт|Есть|||Есть|||||||||||
Asus GeForce RTX 4090 ROG Strix 24GB White OC ROG-STRIX-RTX4090-O24G-WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.5|358 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||2 шт|3 шт|39128 балл(ов)|ROG-STRIX-RTX4090-O24G-WHITE|v.2.1a|v.1.4a|1000 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync|||||4711387016411|||
Palit GeForce RTX 3070 GamingPro OC V1 LHR NE63070S19P2-1041A LHR|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|8 + 8 pin|2.7|294 мм|NVIDIA GeForce RTX 3070 / LHR /|8 ГБ|GDDR6|256 бит|1770 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|21358 балл(ов)|NE63070S19P2-1041A LHR|v.2.1|v.1.4a|650 Вт|Есть|Есть||Есть|||||||||||
Asus GeForce GTX 1660 SUPER DUAL EVO OC DUAL-GTX1660S-O6G-EVO|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)||8 pin|2.7|242 мм|NVIDIA GeForce GTX 1660 SUPER|6 ГБ|GDDR6|192 бит|1860 МГц|14000 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|12677 балл(ов)|DUAL-GTX1660S-O6G-EVO|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
Asus GeForce GTX 1660 Ti TUF Gaming EVO TUF-GTX1660TI-6G-EVO-GAMING|PCI-E v3.0||1 шт||1 шт|4|активное (кулер)||8 pin|2.2|206 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1800 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|2 шт|2 шт|11730 балл(ов)|TUF-GTX1660TI-6G-EVO-GAMING|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
MSI GeForce GTX 1650 VENTUS XS 4G|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|177 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR5|128 бит|1665 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b|v.1.4|300 Вт|||||||||||||||
Asus GeForce RTX 3070 DUAL OC V2 LHR DUAL-RTX3070-O8G-V2|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|267 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1800 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||2 шт|2 шт|21358 балл(ов)|DUAL-RTX3070-O8G-V2|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||||||||||
Asus GeForce RTX 4090 ROG Strix 24GB ROG-STRIX-RTX4090-24G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.5|358 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2550 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||2 шт|3 шт||ROG-STRIX-RTX4090-24G-GAMING|v.2.1a|v.1.4a|1000 Вт|Есть|||Есть|||Asus Aura Sync||||||||
MSI GeForce RTX 2060 SUPER VENTUS GP OC|PCI-E v3.0||||3 шт|4|активное (кулер)|175 Вт|8 pin|2|231 мм|NVIDIA GeForce RTX 2060 SUPER|8 ГБ|GDDR6|256 бит|1665 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|2176||136|1 шт|2 шт|13503 балл(ов)||v.2.0b|v.1.4|550 Вт|Есть||||||||||||||
MSI GeForce RTX 4070 Ti GAMING X TRIO 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|337 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2760 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
Gigabyte GeForce RTX 4090 AORUS XTREME WATERFORCE 24G GV-N4090AORUSX W-24GD|PCI-E v4.0||||3 шт|4|гибридное (ватерблок+кулер)||16 pin|2|238 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||1 шт|3 шт||GV-N4090AORUSX W-24GD|v.2.1|v.1.4|850 Вт|Есть||||||||||||||
Palit GeForce RTX 3060 Ti Dual OC V1 LHR NE6306TS19P2-190AD LHR|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|247 мм|NVIDIA GeForce RTX 3060 Ti / LHR /|8 ГБ|GDDR6|256 бит|1695 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|NE6306TS19P2-190AD LHR|v.2.1|v.1.4a|550 Вт|Есть|Есть||Есть|||||||||||
Palit GeForce RTX 3070 GameRock V1 LHR NE63070019P2-1040G LHR|PCI-E v4.0||||3 шт|4|активное (кулер)|250 Вт|8 + 8 pin|2.7|304 мм|NVIDIA GeForce RTX 3070 / LHR /|8 ГБ|GDDR6|256 бит|1725 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|21358 балл(ов)|NE63070019P2-1040G LHR|v.2.1|v.1.4a|650 Вт|Есть|Есть||Есть|||||||||||
Asus GeForce RTX 2060 DUAL EVO 12GB DUAL-RTX2060-12G-EVO|PCI-E v3.0||1 шт||1 шт|4|активное (кулер)||8 pin|2.7|242 мм|NVIDIA GeForce RTX 2060|12 ГБ|GDDR6|192 бит|1680 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|2176|||2 шт|2 шт|13121 балл(ов)|DUAL-RTX2060-12G-EVO|v.2.0b|v.1.4|500 Вт|Есть|||Есть|||||||||||
MSI GeForce RTX 3060 Ti GAMING X TRIO 8GD6X|PCI-E v4.0||||3 шт|4|активное (кулер)|265 Вт|8 + 8 pin|2.5|323 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6X|256 бит|1845 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|3 шт|19523 балл(ов)||v.2.1|v.1.4a|600 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
PNY GeForce RTX 3060 Ti 8GB UPRISING Dual LHR VCG3060T8LDFMPB|PCI-E v4.0||||3 шт|4|активное (кулер)|200 Вт|8 pin|2|251 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1665 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||1 шт|2 шт|19523 балл(ов)|VCG3060T8LDFMPB|v.2.1|v.1.4a|750 Вт|Есть|Есть|||||||||||||
Palit GeForce RTX 4070 Ti GameRock Classic OC NED407TH19K9-1046G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|314 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2760 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|34587 балл(ов)|NED407TH19K9-1046G|v.2.1|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
MSI GeForce GTX 1660 SUPER VENTUS XS OC|PCI-E v3.0||||3 шт|4|активное (кулер)|125 Вт|8 pin|2|204 мм|NVIDIA GeForce GTX 1660 SUPER|6 ГБ|GDDR6|192 бит|1815 МГц|14000 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|12677 балл(ов)||v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
MSI GeForce RTX 3070 VENTUS 3X PLUS 8G OC LHR|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|8 + 8 pin|2.5|305 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1755 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|21358 балл(ов)||v.2.1|v.1.4a|650 Вт|Есть|Есть|||||||||||||
MSI GeForce GTX 1650 VENTUS XS 4G OC|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|177 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR5|128 бит|1740 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b|v.1.4|300 Вт|||||||||||||||
MSI GeForce RTX 3060 GAMING TRIO PLUS 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 + 8 pin|2.7|323 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1777 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|3 шт|16618 балл(ов)||v.2.1|v.1.4a|550 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
MSI GeForce RTX 2060 SUPER VENTUS GP|PCI-E v3.0||||3 шт|4|активное (кулер)|175 Вт|8 pin|2|231 мм|NVIDIA GeForce RTX 2060 SUPER|8 ГБ|GDDR6|256 бит|1650 МГц|14000 МГц|12 нм|7680x4320 пикс|12 Ultimate|4.6|2176||136|1 шт|2 шт|13503 балл(ов)||v.2.0b|v.1.4|550 Вт|Есть||||||||||||||
Asus GeForce RTX 3060 Ti Dual V2 OC LHR DUAL-RTX3060TI-O8G-V2|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.7|269 мм|NVIDIA GeForce RTX 3060 Ti|8 ГБ|GDDR6|256 бит|1740 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|4864|||2 шт|2 шт|19523 балл(ов)|DUAL-RTX3060TI-O8G-V2|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||||||||||
MSI GTX 1050 TI Gaming 4G|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт|6 pin|2|229 мм|NVIDIA GeForce GTX 1050 Ti|4 ГБ|GDDR5|128 бит|1316 МГц|7008 МГц|14 нм|7680x4320 пикс|12|4.5|768|5|48|1 шт|2 шт|5998 балл(ов)|||||||||||||||||||
Asus GeForce RTX 3050 TUF OC 8GB TUF-RTX3050-O8G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2.7|272 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1875 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||2 шт|2 шт||TUF-RTX3050-O8G-GAMING|v.2.1|v.1.4a|550 Вт|Есть|||Есть|||Asus Aura Sync||||||||
Gigabyte GeForce RTX 3070 Ti GAMING OC 8G GV-N307TGAMING OC-8GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 + 8 pin|2.7|320 мм|NVIDIA GeForce RTX 3070 Ti|8 ГБ|GDDR6X|256 бит|1830 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||2 шт|3 шт|22492 балл(ов)|GV-N307TGAMING OC-8GD|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||Gigabyte RGB Fusion||||||||
Asus GeForce GTX 1660 Ti TUF Gaming EVO OC TUF-GTX1660TI-O6G-EVO-GAMING|PCI-E v3.0||1 шт||1 шт|4|активное (кулер)||8 pin|2.2|206 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1845 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|2 шт|2 шт|11730 балл(ов)|TUF-GTX1660TI-O6G-EVO-GAMING|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
Gigabyte GeForce RTX 3060 EAGLE OC LHR 12G GV-N3060EAGLE OC-12GD 2.0 LHR|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|242 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1807 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|2 шт|2 шт|16618 балл(ов)|GV-N3060EAGLE OC-12GD 2.0 LHR|v.2.1|v.1.4a||Есть|Есть|||||||||||||
Palit GeForce RTX 3070 GamingPro V1 LHR NE63070019P2-1041A LHR|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|8 + 8 pin|2.7|294 мм|NVIDIA GeForce RTX 3070 / LHR /|8 ГБ|GDDR6|256 бит|1725 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|21358 балл(ов)|NE63070019P2-1041A LHR|v.2.1|v.1.4a|650 Вт|Есть|Есть||Есть|||||||||||
MSI GTX 1050 TI 4GT LP|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|182 мм|NVIDIA GeForce GTX 1050 Ti|4 ГБ|GDDR5|128 бит|1290 МГц|7008 МГц|14 нм|7680x4320 пикс|12|4.5|768|5|48|1 шт|2 шт|5998 балл(ов)||||300 Вт||||||||Есть|||||||
MSI GeForce RTX 3060 VENTUS 3X 12G OC LHR|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2|316 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1807 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|3 шт|16618 балл(ов)||v.2.1|v.1.4a||Есть|Есть|||||||||||||
