|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
MSI GeForce RTX 4080 12GB SUPRIM|PCI-E v4.0||||3 шт|4|активное (кулер)||16 pin|3.7|338 мм|NVIDIA GeForce RTX 4080|12 ГБ|GDDR6X|192 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|3 шт|||v.2.1a|v.1.4a|700 Вт|Есть|||Есть|||MSI Mystic Light Sync||||||||
AFOX GeForce GT 710 AF710-1024D3L8|PCI-E v2.0||1 шт|||2|активное (кулер)|||1|145 мм|NVIDIA GeForce GT 710|1 ГБ|GDDR3|64 бит|954 МГц|1600 МГц|28 нм|2560x1600 пикс|12|4.4|192|5|16|1 шт|1 шт|||v.1.4||300 Вт||||||||Есть||1 шт|||||
INNO3D GeForce RTX 4090 X3 OC WHITE N40903-246XX-18333259|PCI-E v4.0||||3 шт|4|активное (кулер)|850 Вт|16 pin|3|336 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2550 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||1 шт|3 шт|39128 балл(ов)|N40903-246XX-18333259|v.2.1|v.1.4a||Есть||Ada Lovelace|||||||||0835168003200|||
Gigabyte GeForce RTX 3080 EAGLE 12G LHR GV-N3080EAGLE-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)|350 Вт|8 + 8 pin|2.7|320 мм|NVIDIA GeForce RTX 3080|12 ГБ|GDDR6X|384 бит|1710 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8960|||2 шт|3 шт||GV-N3080EAGLE-12GD|v.2.1|v.1.4a|750 Вт|Есть|Есть||Есть|||Gigabyte RGB Fusion||||||||
PowerColor Radeon RX 7600 Hellhound RX 7600 8G-L/OC|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.2|234 мм|AMD Radeon RX 7600|8 ГБ|GDDR6|128 бит|2695 МГц|18000 МГц|6 нм|4096x2160 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт||RX 7600 8G-L/OC|v.2.1|v.2.1|600 Вт|||Navi 3X (RDNA 3)|Есть||||||||4713436174790|||
Gainward GeForce RTX 4060 Ti Pegasus 8GB NE6406T019P1-1060E|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2|170 мм|NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2535 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|1 шт||NE6406T019P1-1060E|v.2.1a|v.1.4a||Есть||Ada Lovelace|||||||||4710562243987|||
Gigabyte Radeon RX 7900 XTX 24G GV-R79XTX-24GC-B|PCI-E v4.0||||2 шт|4|активное (кулер)||8 + 8 pin|2.2|287 мм|AMD Radeon RX 7900 XTX|24 ГБ|GDDR6|384 бит|2500 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|12288|||1 шт|3 шт||GV-R79XTX-24GC-B|v.2.1|v.2.1|800 Вт|||Navi 3X (RDNA 3)|||1 шт|||||||||
MSI GeForce RTX 4070 Ti VENTUS 2X 12G|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|242 мм|NVIDIA GeForce RTX 4070 Ti|12 ГБ|GDDR6X|192 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7680|||1 шт|2 шт|31526 балл(ов)||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
XFX Radeon RX 7600 Black RX-76PQICKBY|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)||8 pin|2.5|274 мм|AMD Radeon RX 7600|8 ГБ|GDDR6|128 бит|2755 МГц|18000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|3 шт||RX-76PQICKBY|v.2.1|v.2.1|550 Вт|||Navi 3X (RDNA 3)|||||||||0840191500756|||
ZOTAC GeForce GT 730 ZT-71113-20L|PCI-E v2.0||1 шт|||2|пассивное (радиатор)|||1|145 мм|NVIDIA GeForce GT 730|2 ГБ|DDR3|64 бит|902 МГц|1600 МГц|28 нм|4096x2160 пикс|12|4.4|384|5|32|1 шт||||||||||||||||1 шт||4895173605109|||
Gainward GeForce RTX 4070 Ti SUPER Phoenix GS NED47TSH19T2-1043X|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2760 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт||NED47TSH19T2-1043X|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
INNO3D GeForce RTX 3080 Ti ICHILL X4 C308T4-126XX-1810VA36|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|3|300 мм|NVIDIA GeForce RTX 3080 Ti|12 ГБ|GDDR6X|384 бит|1710 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||1 шт|3 шт|26784 балл(ов)|C308T4-126XX-1810VA36|v.2.1|v.1.4a|750 Вт|Есть|Есть|Ampere|Есть||||||||0835168001916|||
XFX Radeon RX 7800 XT Speedster MERC 319 RX-78TMERCB9|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|263 Вт|8 + 8 pin|2.7|326 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит|2565 МГц|19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||1 шт|3 шт|24438 балл(ов)|RX-78TMERCB9|v.2.1|v.2.1|700 Вт|||Navi 3X (RDNA 3)|||||||||0840191502460|||
