|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
AMD FX 4-Core FX-4350 BOX|FX|Piledriver|AMD AM3+|32 нм|4.2 ГГц|125 Вт|SSE3, SSE4.1/4.2, AES, AVX Plus FMA4, XOP|21||4 cores|||4 threads|отсутствует||||1866 МГц|2 шт|FD4350FRHKBOX|4.3 ГГц||Есть|||||||||||||||||||192 КБ|4096 КБ|8 МБ|64 ГБ|Есть|
Intel Core i7 Coffee Lake Refresh i7-9700K BOX|Core i7|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.6 ГГц|95 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|36|100 °С|8 cores|||8 threads|UHD Graphics 630|8 ГТ/с||||2 шт|BX80684I79700K|4.9 ГГц||Есть|||||3.0|2666 МГц||||||||||14613 балл(ов)|34070 балл(ов)|1495 балл(ов)|512 КБ|2048 КБ|12 МБ|128 ГБ||
AMD Ryzen 9 Matisse 3900X OEM|Ryzen 9|Matisse (Zen 2)|AMD AM4|7 нм|3.8 ГГц|105 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|38||12 cores|||24 threads|отсутствует|||||2 шт|100-000000023|4.6 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||32252 балл(ов)|43978 балл(ов)|3049 балл(ов)||6144 КБ|64 МБ|128 ГБ||
AMD Ryzen 7 Pinnacle Ridge 2700X OEM|Ryzen 7|Pinnacle Ridge (Zen+)|AMD AM4|12 нм|3.7 ГГц|105 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /||85 °С|8 cores|||16 threads|отсутствует|||||2 шт|YD270XBGM88AF|4.3 ГГц||Есть||||Есть|3.0|2933 МГц||||||||||16988 балл(ов)|28164 балл(ов)|1836 балл(ов)|768 КБ|4096 КБ|16 МБ|64 ГБ||
AMD Ryzen 5 Vermeer 5600X3D BOX|Ryzen 5|Vermeer (Zen 3)|AMD AM4|7 нм|3.3 ГГц|105 Вт|AVX2, FMA3, MMX(+), SHA, SSE, SSE2, SSE3, SSE4.1, SSE4.2||90 °С|6 cores|||12 threads|отсутствует|||128 ГБ||2 шт|100-100001176WOF|4.4 ГГц|BOX (без кулера)|Есть|||96 МБ|Есть|4.0|3200 МГц||||||||||||||||||
Intel Core i7 Coffee Lake Refresh i7-9700KF OEM|Core i7|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.6 ГГц|100 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|36||8 cores|||8 threads|отсутствует|||||2 шт|CM8068403874219|4.9 ГГц||Есть|||||3.0|2666 МГц||||||||||14696 балл(ов)|34448 балл(ов)|1520 балл(ов)|512 КБ|2048 КБ|12 МБ|128 ГБ||
AMD Ryzen Threadripper PRO 3995WX BOX|Ryzen Threadripper|Castle Peak (Zen 2)|AMD WRX8|7 нм|2.7 ГГц|280 Вт||27|90 °С|64 cores|||128 threads|отсутствует|||||8 шт|100-100000087WOF|4.2 ГГц||||||Есть||3200 МГц||||||||||88609 балл(ов)|||4096 КБ|32768 КБ|256 МБ|||
AMD Ryzen 7 Matisse 3700X BOX|Ryzen 7|Matisse (Zen 2)|AMD AM4|7 нм|3.6 ГГц|65 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|36||8 cores|||16 threads|отсутствует|||||2 шт|100-100000071BOX|4.4 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||24121 балл(ов)|36561 балл(ов)|2114 балл(ов)||4096 КБ|32 МБ|128 ГБ|Есть|
Intel Core i9 Alder Lake i9-12900KF BOX|Core i9|Alder Lake|Intel LGA 1700|10 нм||125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|отсутствует|||||2 шт|BX8071512900KF|5.2 ГГц||Есть||||Есть|5.0|3200 МГц|241 Вт|4800 МГц|3.2 ГГц|2.4 ГГц||5.1 ГГц|3.9 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ||
Intel Core i7 Comet Lake i7-10700 BOX|Core i7|Comet Lake|Intel LGA 1200|14 нм|2.9 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|29|100 °С|8 cores|||16 threads|UHD Graphics 630|8 ГТ/с||||2 шт|BX8070110700, BXC8070110700|4.7 ГГц||||||Есть|3.0|2933 МГц|||||4.8 ГГц|||||17490 балл(ов)|35745 балл(ов)|2291 балл(ов)|||16 МБ|128 ГБ|Есть|
