|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Cooler Master V SFX Platinum MPZ-B001-SFAP-B|1100 Вт|SFX|24+8+8(4+4) pin|8 шт|4 шт|3 шт|модульная|20 А|20 А|91.6 А|0.3 А|3 А|1100 Вт|120 Вт|3.6 Вт|15 Вт|активная|94 %|1 вентилятор|92 мм|гидродинамический|80+ Platinum|3||||Есть|Есть|Есть|OCP, UVP, OTP||10 лет|64x125x100 мм||||3.42||||1 шт|4719512122655, 4719512122662, 4719512122679|||||
Fractal Design Integra M FD-PSU-IN3B-650W|650 Вт|ATX|24+8 (4+4) pin|6 шт|2 шт|2 шт|полумодульная||||||||||активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||3 года|150x86x140 мм|1.6 кг||Есть|2.92||||||||||
Seasonic PRIME PX -1000|1000 Вт|ATX|24+8+8(4+4) pin|12 шт|5 шт|8 шт|модульная||||||||||активная|92 %|полупассивная|135 мм||80+ Platinum|||||Есть|Есть|Есть|||12 лет|86x150x170 мм||Есть|Есть||SSR-1000PD|||||||||
Crown Standart CM-PS400|400 Вт|ATX|24+4 pin|2 шт|3 шт||не модульная||||||||||активная||1 вентилятор|80 мм||без 80+|2||||Есть|Есть|Есть||||||Есть||||||||||||
Thermaltake Toughpower GF3 TPD-0850AH3FCG|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|70.8 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм|1.69 кг|Есть||||||1 шт|4713227533928|||||
Chieftec ECO GPE-500S|500 Вт|ATX|24+4 pin|350 мм|350 мм|1 шт|не модульная|21 А|20 А|37.5 А|0.3 А|2.5 А|450 Вт|103 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||без 80+|2.3|450 мм|500 мм|400 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||||||||||||||
Thermaltake Smart Pro RGB SPR-0750F-R|750 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|6 шт|модульная|22 А|22 А|62.5 А|0.3 А|2.5 А|750 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть|OCP, UVP, OTP||7 лет|87x150x170 мм||Есть||2.92||||||||Есть||
Thermaltake Toughpower GF1 TTP-650AH3FCG|650 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть||||||||||||
be quiet! Straight Power 11 Platinum BN307|750 Вт|ATX|24+8+8(4+4) pin|550 мм|550 мм|4 шт|модульная|25 А|25 А|20 А|0.3 А|3 А|749 Вт|130 Вт|||активная|94 %|1 вентилятор|135 мм|гидродинамический|80+ Platinum|2.51|600 мм|700 мм|600 мм|Есть|Есть|Есть|OCP, UVP, OTP|21 дБ / при 100% нагрузке /|5 лет|86x150x160 мм|1.7 кг|Есть|Есть|2.92|||20 А|||24 А|24 А|||
be quiet! Straight Power 11 Platinum BN309|1000 Вт|ATX|24+8+8(4+4) pin|550 мм|550 мм|6 шт|модульная|25 А|25 А|22 А|0.5 А|3 А|999 Вт|150 Вт|||активная|94 %|1 вентилятор|135 мм|гидродинамический|80+ Platinum|2.51|600 мм|700 мм|600 мм|Есть|Есть|Есть|OCP, UVP, OTP|22 дБ / при 100% нагрузке /|5 лет|86x150x160 мм|1.87 кг|Есть|Есть|2.92|||22 А|||30 А|30 А|||
