|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Corsair HX Series CP-9020137-EU|750 Вт|ATX|24+8+8(4+4) pin|800 мм|750 мм|4 шт|модульная||||||||||активная|94 %|полупассивная|135 мм|гидродинамический|80+ Platinum|2.4|610 мм|650 мм|775 мм|Есть|Есть|Есть||18 дБ|10 лет|86x150x180 мм|1.92 кг|Есть||2.92||||||||||
1stPlayer PS-SP PS-650SP|650 Вт|ATX|24+8+8(4+4) pin|6 шт|3 шт|4 шт|модульная|15 А|15 А|54 А|0.3 А|2.5 А|||||активная|92 %|1 вентилятор|140 мм||80+ Gold|||||Есть|Есть|Есть||||||||||||||||||
Gamemax VP Gamer VP-450|450 Вт|ATX|24+8 (4+4) pin|4 шт|2 шт|1 шт|не модульная|15 А|15 А|28 А|0.5 А|2.5 А|336 Вт|100 Вт|6 Вт|12.5 Вт|активная|75 %|1 вентилятор|120 мм||без 80+|2.31|500 мм|600 мм|400 мм|Есть|Есть|Есть|UVP, OCP, OTP||1 год|86x150x140 мм||||||||||||||
Asus ROG Loki ROG LOKI SFX-L 1000W Platinum|1000 Вт|SFX|24+8+8(4+4) pin|300 мм|300 мм|3 шт|модульная|20 А|20 А|83.3 А|0.8 А|2.5 А|1000 Вт|110 Вт|9.6 Вт|12.5 Вт|активная||полупассивная|120 мм|качения|80+ Platinum|3|450 мм|550 мм|450 мм|Есть|Есть|Есть|||10 лет|64x125x125 мм|1.83 кг||Есть||90YE00N1-B0NA00, ROG-LOKI-1000P-SFX-L-GAMING|||1 шт|4711081721901|||Есть|Asus Aura Sync|
Seasonic B12 BC B12-BC-850|850 Вт|ATX|24+8+8(4+4) pin|690 мм|690 мм|4 шт|не модульная|15 А|15 А|70 А|0.3 А|2.5 А|840 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+ Bronze||550 мм|600 мм|700 мм|Есть|Есть|Есть|OCP||5 лет|86x150x140 мм|||Есть||||||4711173876717|||||
Seasonic B12 BC B12-BC-750|750 Вт|ATX|24+8+8(4+4) pin|690 мм|690 мм|4 шт|не модульная|15 А|15 А|62 А|0.3 А|2.5 А|744 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+ Bronze||550 мм|600 мм|700 мм|Есть|Есть|Есть|OCP||5 лет|86x150x140 мм|||Есть|||||||||||
be quiet! Pure Power 11 FM BN319|750 Вт|ATX|24+8+8(4+4) pin|9 шт|2 шт|4 шт|модульная|20 А|20 А|36 А|0.3 А|3 А|750 Вт|120 Вт|||активная|92 % / нагрузка 100% /|1 вентилятор|120 мм|скольжения|80+ Gold|2.52|550 мм|||Есть|Есть|Есть|OCP, OTP|25 дБ|5 лет|86x150x160 мм|1.69 кг|Есть||2.92|||32 А|||||||
Corsair RMx Series New CP-9020199-EU|750 Вт|ATX|24+8+8(4+4) pin|850 мм|750 мм|4 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|150 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|135 мм|магнитное центрирование|80+ Gold|2.4|610 мм|650 мм|750 мм|Есть|Есть|Есть|UVP, OTP|35 дБ / 100% нагрузка /|10 лет|86x150x160 мм|1.7 кг||Есть|2.92||||||||||
Cougar GX V3 GX1050|1050 Вт|ATX|24+8+8(4+4) pin|10 шт|4 шт|6 шт|полумодульная||||||||||активная|88 %|1 вентилятор|140 мм|качения|80+ Gold|2.31||||Есть|Есть|Есть||29 дБ|5 лет|86x150x160 мм|||Есть|2.92||||||||||
be quiet! Dark Power 13 BN334|850 Вт|ATX|24+8+8(4+4) pin|750 мм|900 мм|4 шт|модульная|24 А|24 А|30 А|0.5 А|3 А|840 Вт|120 Вт|||активная|95 %|1 вентилятор|135 мм|гидродинамический|80+ Titanium|3|600 мм|700 мм|600 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|20 дБ|10 лет|86x150x170 мм|1.97 кг||Есть|2.92|||30 А|1 шт|4260052189399|35 А|35 А|||
Thermaltake Toughpower GF1 Snow PS-TPD-0650FNFAGE-W|650 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм||Есть|||PS-TPD-0650FNFAGE-W, PS-TPD-0650FNFAGU-W||||4713227528856|||||
NZXT C Series Gold 2022 C650 Gold|650 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|2.52|600 мм|700 мм|650 мм|Есть|Есть|Есть|||10 лет|86x150x150 мм|||Есть|2.92|PA-6G1BB|||||||||
Cougar BXM 700|700 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|4 шт|полумодульная|24 А|22 А|58.3 А|0.3 А|3 А|700 Вт|140 Вт|||активная|86 %|1 вентилятор|135 мм||80+ Bronze||600 мм|650 мм|550 мм|Есть|Есть|Есть|UVP, OTP, OCP||3 года|86x150x160 мм|2.1 кг||Есть||31BX070.0001P|||||||||
be quiet! Pure Power 11 FM BN324|850 Вт|ATX|24+8+8(4+4) pin|10 шт|2 шт|4 шт|модульная|22 А|22 А|40 А|0.3 А|3 А|850 Вт|120 Вт|||активная|93 % / нагрузка 100% /|1 вентилятор|120 мм|скольжения|80+ Gold|2.52|550 мм|600 мм|500 мм|Есть|Есть|Есть|OCP, OTP|26 дБ|5 лет|86x150x160 мм|1.85 кг|Есть||2.92|||36 А|||||||
Asus ROG Strix ROG-STRIX-750G|750 Вт|ATX|24+8+8(4+4) pin|8 шт|3 шт|4 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|||||активная|90 %|полупассивная|135 мм||80+ Gold|||||Есть|Есть|Есть|OPP, OCP, OTP||10 лет|86x150x160 мм|||||90YE00A0-B0EA00, 90YE00A0-B0NA00|||||||||
Seasonic FOCUS GM -850|850 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|6 шт|полумодульная|20 А|20 А|70 А|0.3 А|3 А|840 Вт|100 Вт|3.6 Вт|15 Вт|активная|87 %|полупассивная|120 мм|гидродинамический|80+ Gold||610 мм|650 мм|750 мм|Есть|Есть|Есть|||7 лет|86x150x140 мм||Есть|||SSR-850FM|||||||||
Corsair RM V2 CP-9020235-EU|850 Вт|ATX|24+8+8+8 pin|750 мм|750 мм|4 шт|модульная|20 А|20 А|70.8 А|0.3 А|3 А|850 Вт|150 Вт|3.6 Вт|15 Вт|активная|91 %|полупассивная|||80+ Gold|2.4|610 мм|650 мм|750 мм|Есть|Есть|Есть||30 дБ|10 лет||1.7 кг|||2.92||||||||||
Cougar STX 650|650 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|не модульная||||||||||активная|88 %|1 вентилятор|120 мм||80+|||||Есть|Есть|Есть||30 дБ|2 года|86x150x140 мм||Есть||||||||||||
Asus ROG Strix Aura ROG STRIX 750W Gold Aura|750 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|3 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная||полупассивная|135 мм|качения|80+ Gold|3|600 мм|650 мм|700 мм|Есть|Есть|Есть|||10 лет|86x150x180 мм|2.69 кг||||90YE00P3-B0NA00, ROG-STRIX-750G-AURA-GAMING|||1 шт|4711081722366|||Есть|Asus Aura Sync|
Asus ROG Strix Aura ROG STRIX 1200W Gold Aura|1200 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|4 шт|модульная|22 А|22 А|100 А|0.3 А|3 А|1200 Вт|120 Вт|3.6 Вт|15 Вт|активная||полупассивная|135 мм|качения|80+ Gold|3|600 мм|650 мм|700 мм|Есть|Есть|Есть|||10 лет|86x150x180 мм|3.23 кг||||ROG-STRIX-1200G-AURA-GAMING|||1 шт||||Есть|Asus Aura Sync|
Seasonic FOCUS GM -750|750 Вт|ATX|24+8 (4+4) pin|450 мм|450 мм|4 шт|полумодульная||||||||||активная|87 %|полупассивная|120 мм||80+ Gold||610 мм|650 мм|750 мм|Есть|Есть|Есть|||7 лет|86x150x140 мм||Есть|||SSR-750FM|||||||||
Cougar STX 750|750 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|не модульная||||||||||активная|88 %|1 вентилятор|120 мм||80+|||||Есть|Есть|Есть||30 дБ|2 года|86x150x140 мм||Есть||||||||||||
Asus ROG Strix ROG-STRIX-850W-WHITE|850 Вт|ATX|24+8+8(4+4) pin|810 мм|450 мм|4 шт|модульная|20 А|20 А|62 А|0.3 А|3 А|||||активная|90 %|полупассивная|135 мм||80+ Gold||610 мм|1000 мм|675 мм|Есть|Есть|Есть|OPP, OCP, OTP||10 лет|86x150x160 мм|||||90YE00A4-B0NA00|||||||||
Asus ROG Strix ROG-STRIX-1000G|1000 Вт|ATX|24+8+8(4+4) pin|810 мм|450 мм|4 шт|модульная|25 А|25 А|83 А|0.3 А|3 А|||||активная|90 %|полупассивная|135 мм|качения|80+ Gold||610 мм|1000 мм|675 мм|Есть|Есть|Есть|OPP, OCP, OTP||10 лет|86x150x160 мм|||||90YE00A5-B0NA00|||||||||
Corsair HX Series CP-9020139-EU|1000 Вт|ATX|24+8+8(4+4) pin|800 мм|750 мм|8 шт|модульная||||||||||активная|94 %|полупассивная|135 мм|гидродинамический|80+ Platinum|2.4|610 мм|650 мм|775 мм|Есть|Есть|Есть||23 дБ|10 лет|86x150x180 мм|1.95 кг|Есть||2.92||||||||||
Deepcool Nova DN450|450 Вт|ATX|24+8 (4+4) pin|350 мм|350 мм|1 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм|скольжения|80+|2.31|450 мм|550 мм|450 мм|Есть|Есть|Есть|||5 лет|||||||||||||||
Thermaltake Toughpower GF1 TTP-1200AH3FCG|1200 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|24 А|24 А|100 А|0.5 А|3 А|1200 Вт|120 Вт|6 Вт|15 Вт|активная|90 %|полупассивная|140 мм|гидродинамический|80+ Gold||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм|1.97 кг|Есть|||PS-TPD-1200FNFAGE-1|||||||||
Deepcool Nova DN550|550 Вт|ATX|24+8 (4+4) pin|350 мм|350 мм|2 шт|не модульная|18 А|18 А|42 А|0.3 А|2.5 А|504 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+|2.31|450 мм|550 мм|450 мм|Есть|Есть|Есть|||5 лет|86x150x140 мм||||||||||||||
Deepcool Nova DN650|650 Вт|ATX|24+8 (4+4) pin|350 мм|350 мм|4 шт|не модульная|20 А|20 А|50 А|0.3 А|2.5 А|600 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+|2.31|450 мм|550 мм|450 мм|Есть|Есть|Есть|||5 лет|86x150x140 мм||||||||||||||
FSP PNR ATX-400|400 Вт|ATX|24+4 pin|2 шт|4 шт||не модульная|30 А|16 А|14 А|0.8 А|2.5 А|||||||1 вентилятор|120 мм||без 80+|2.2|||||||||1 год|||Есть|||||13 А|||||||
Super Flower Leadex Silver SF-650F14MT|650 Вт|ATX|24+8+8(4+4) pin|10 шт|5 шт|4 шт|модульная||||||||||активная|90 %|1 вентилятор|140 мм||80+ Silver|2.2||||Есть|Есть|Есть||||86x150x165 мм||Есть||2.92||||||||||
Deepcool DQ M-V2L DQ650-M-V2L|650 Вт|ATX|24+8 (4+4) pin|550 мм|450 мм|2 шт|модульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм|скольжения|80+ Gold|2.31|550 мм|700 мм|500 мм|Есть|Есть|Есть|UVP, OCP, OTP||10 лет|86x150x160 мм|||||DP-GD-DQ650-M-V2L|||||||||
Asus ROG Thor Platinum II EVA ROG-THOR-1000P2-EVA-GAMING|1000 Вт|ATX|24+8+8(4+4) pin|12 шт|6 шт|8 шт|модульная|25 А|25 А|83 А|0.3 А|3 А|||||активная||полупассивная|135 мм||80+ Platinum|||||Есть|Есть|Есть|UVP, OCP, OTP|||86x150x190 мм|2.35 кг|||||||||||Есть|Asus Aura Sync|
Aerocool Value VX-550|550 Вт|ATX|24+8 (4+4) pin|3 шт|4 шт||не модульная||||||||||пассивная|80 %|1 вентилятор|120 мм||без 80+|2.3||||Есть|Есть|Есть||31 дБ|2 года|86x150x140 мм||Есть|||ACPN-VX55NEY.11|1 шт||||||||
Gigabyte Ultra Durable PG5 UD850GM PG5|850 Вт|ATX|24+8+8(4+4) pin|600 мм|500 мм|4 шт|модульная|20 А|20 А|70.8 А|0.3 А|3 А|850 Вт|105 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|120 мм|гидродинамический|80+ Gold|3|610 мм|600 мм|600 мм|Есть|Есть|Есть|UVP, OCP, OTP||5 лет|86x150x140 мм||Есть||||||1 шт||||||
Deepcool PX-P PX1000P|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|5 шт|модульная|22 А|22 А|83.3 А|0.3 А|3 А|1000 Вт|120 Вт|3.6 Вт|15 Вт|активная|92 %|полупассивная|120 мм|гидродинамический|80+ Platinum|3|600 мм|700 мм|700 мм|Есть|Есть|Есть|OTP, OCP, UVP, NLO, SIP||12 лет|86x150x160 мм|||||R-PXA00P-FC0B-EU|||1 шт||||||
A-Data XPG CYBERCORE II 1300W|1300 Вт|ATX|24+8+8(4+4) pin|600 мм|600 мм|10 шт|модульная|25 А|25 А|108.33 А|0.3 А|3 А|1300 Вт|150 Вт|3.6 Вт|15 Вт|активная|93 %|полупассивная|120 мм|качения|80+ Platinum|3|750 мм|750 мм|750 мм|Есть|Есть|Есть|OCP, OTP, UVP, NLO, SIP||10 лет|86x150x160 мм|2 кг|Есть|||CYBERCOREII1300P-BKCEU, CYBERCOREII1300P-BKCUS|||1 шт||||||
Cougar GEX X2 1000|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|860 мм|6 шт|модульная|20 А|20 А|83.3 А|0.3 А|3 А|1000 Вт|100 Вт|3.6 Вт|15 Вт|активная|91 %|полупассивная|120 мм|гидродинамический|80+ Gold|3|650 мм|650 мм|650 мм|Есть|Есть|Есть|UVP, OCP, OTP|||86x150x140 мм|||||31GT100001P01|||1 шт||||||
Seasonic PRIME FANLESS TX FANLESS TX-700|700 Вт|ATX|24+8+8(4+4) pin|10 шт|5 шт|4 шт|модульная|20 А|20 А|58 А|0.3 А|3 А|696 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|94 %|пассивная (радиаторы)|||80+ Titanium|||||Есть|Есть|Есть|UVP, OCP, OTP, SCP||12 лет|86x150x170 мм||||||||||||||
Zalman TeraMax II ZM1000-TMX2 WHITE|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|25 А|25 А|83.33 А|0.3 А|3 А|1000 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.8 кг|Есть||||||1 шт||||||
Seasonic PRIME FANLESS PX FANLESS PX-500|500 Вт|ATX|24+8+8(4+4) pin|8 шт|5 шт|1 шт|модульная|20 А|20 А|41 А|0.3 А|3 А|492 Вт|100 Вт|3.6 Вт|15 Вт|активная|92 %|пассивная (радиаторы)|||80+ Platinum|||||Есть|Есть|Есть|UVP, OCP, OTP||12 лет|86x140x150 мм||Есть|||SSR-500PL|||||||||
Deepcool PX-P PX1300P|1300 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|5 шт|модульная|25 А|25 А|108.3 А|0.3 А|3 А|1300 Вт|130 Вт|3.6 Вт|15 Вт|активная|92 %|полупассивная|120 мм|гидродинамический|80+ Platinum|3|600 мм|700 мм|700 мм|Есть|Есть|Есть|OTP, OCP, UVP, NLO, SIP||12 лет|86x150x160 мм|||||R-PXD00P-FC0B-EU|||2 шт||||||
Zalman TeraMax II ZM1000-TMX2|1000 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|25 А|25 А|83.33 А|0.3 А|3 А|1000 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.8 кг|Есть||||||1 шт||||||
Cooler Master MWE White V2 MWE 750 WHITE V2|750 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|4 шт|не модульная|20 А|20 А|62 А|0.3 А|3 А|744 Вт|110 Вт|3.6 Вт|15 Вт|активная|80 %|1 вентилятор|120 мм|гидродинамический|80+|2.52|500 мм|550 мм|500 мм|Есть|Есть|Есть|OTP, UVP|40 дБ|3 года|86x150x140 мм|1.6 кг|||||||||||||
Seasonic PRIME TX -1000|1000 Вт|ATX|24+8+8(4+4) pin|860 мм|690 мм|8 шт|модульная||||||||||активная|96 %|полупассивная|135 мм|гидродинамический|80+ Titanium|2.4|610 мм|650 мм|750 мм|Есть|Есть|Есть|||12 лет|86x150x170 мм||Есть|Есть|||||||||||
Aerocool Kcas Plus 600W|600 Вт|ATX|24+8 (4+4) pin|7 шт|4 шт|4 шт|не модульная|18 А|18 А|50 А|0.3 А|2.5 А|600 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||2 года|||||||||||||||
Zalman TeraMax II ZM750-TMX2 WHITE|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|не модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.5 кг|Есть||||||1 шт||||||
Xilence Gaming Gold XP850R12|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|не модульная|20 А|20 А|70.8 А|0.3 А|3 А|850 Вт|100 Вт|3.6 Вт|15 Вт|активная|92 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|2.52|550 мм|600 мм|550 мм|Есть|Есть|Есть|OCP, UVP, OTP|36 дБ|||||||XN340|||||||||
Chieftec EON ZPU-600S|600 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|2 шт|не модульная|20 А|20 А|45 А|0.4 А|2.5 А|540 Вт|100 Вт|4.8 Вт|12.5 Вт|активная||1 вентилятор|120 мм|скольжения|80+|2.3|650 мм|700 мм|550 мм|Есть|Есть|Есть|SIP, UVP||2 года|86x150x140 мм|1.34 кг|||||||||||||
Zalman TeraMax II ZM750-TMX2|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|не модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.5 кг|Есть||||||1 шт||||||
MSI MAG PCIE5 A850GL|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|70.5 А|0.3 А|2.5 А|846 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|3|600 мм|750 мм|600 мм|Есть|Есть|Есть|OCP, OTP, UVP||10 лет|86x150x140 мм||Есть||||||1 шт|4711377084253|||||
Chieftec Smart A8 GPS-450A8|450 Вт|ATX|24+4 pin|500 мм|500 мм|1 шт|не модульная|22 А|18 А|21 А|0.3 А|2.5 А|360 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|80 %|1 вентилятор|120 мм|скольжения|без 80+|2.3|500 мм|500 мм|500 мм|Есть|Есть|Есть|||2 года|87x150x140 мм||Есть|||||18 А|||||||
Chieftec EON ZPU-700S|700 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|4 шт|не модульная|20 А|20 А|53 А|0.4 А|2.5 А|636 Вт|100 Вт|4.8 Вт|12.5 Вт|активная||1 вентилятор|120 мм|скольжения|80+|2.3|650 мм|700 мм|550 мм|Есть|Есть|Есть|SIP, UVP||2 года|86x150x140 мм|1.4 кг|||||||||||||
Chieftec Force CPS-550S|550 Вт|ATX|24+8 (4+4) pin|400 мм|400 мм|2 шт|не модульная|22 А|22 А|41.25 А|0.3 А|2.5 А||120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм||без 80+|2.3|450 мм|550 мм|550 мм|Есть|Есть|Есть|||2 года|86x140x140 мм||||||||||||||
Gamemax GX Rampage GX-850 Pro BK|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|модульная|20 А|20 А|70 А|0.3 А|2.5 А|840 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|полупассивная|135 мм|гидродинамический|80+ Gold|3|650 мм|650 мм|550 мм|Есть|Есть|Есть|OTP, OCP, UVP||2 года|86x150x160 мм||||||||1 шт||||||
Zalman TeraMax II ZM1200-TMX2|1200 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|25 А|25 А|100 А|0.3 А|3 А|1200 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.8 кг|Есть||||||1 шт||||||
Zalman TeraMax II ZM1200-TMX2 WHITE|1200 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|25 А|25 А|100 А|0.3 А|3 А|1200 Вт|125 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.8 кг|Есть||||||1 шт||||||
Zalman TeraMax II ZM850-TMX2 WHITE|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|20 А|20 А|70.83 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.6 кг|Есть||||||1 шт||||||
Zalman GigaMax III ZM650-GV3|650 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|2 шт|полумодульная|20 А|20 А|54.16 А|0.3 А|3 А|650 Вт|110 Вт|3.6 Вт|15 Вт|активная|88 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze|3|500 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|1.65 кг|||||||1 шт||||||
Chieftec iARENA GPA GPA-600S|600 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|2 шт|не модульная||||||||||активная|72 %|1 вентилятор|120 мм||без 80+|2.3|500 мм|500 мм|500 мм|Есть|Есть|Есть|||2 года|86x150x140 мм||Есть||||||||||||
Zalman GigaMax III ZM750-GV3|750 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|4 шт|полумодульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|88 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze|3|550 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|1.7 кг|||||||1 шт||||||
Xilence Gaming Gold XP750R12.ARGB|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|3 шт|не модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт||||активная|92 %|1 вентилятор|120 мм|гидродинамический|80+ Gold|2.52|550 мм|600 мм|550 мм|Есть|Есть|Есть|OCP, UVP, OTP|36 дБ|||||||XN335|||||||Есть|multi compatibility|
Chieftec Atmos CPX-850FC|850 Вт|ATX|24+8+8(4+4) pin|550 мм|550 мм|4 шт|модульная|20 А|20 А|70.8 А|0.3 А|3 А|850 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|120 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|700 мм|Есть|Есть|Есть|OTP, SIP, UVP, OCP||5 лет|86x150x140 мм|1.52 кг|||||||1 шт||||||
Zalman GigaMax III ZM850-GV3|850 Вт|ATX|24+8+8(4+4) pin|450 мм|450 мм|4 шт|полумодульная|20 А|20 А|70.83 А|0.3 А|3 А|850 Вт|130 Вт|3.6 Вт|15 Вт|активная|88 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze|3|550 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|1.8 кг|||||||1 шт||||||
Zalman TeraMax II ZM850-TMX2|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|4 шт|не модульная|20 А|20 А|70.83 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|12 мм|гидродинамический|80+ Gold|3|600 мм|700 мм|550 мм|Есть|Есть|Есть|OCP, OTP, UVP|||86x150x140 мм|2.6 кг|Есть||||||1 шт||||||
Xilence Performance C+ XP650R6.2|650 Вт|ATX|24+8+8(4+4) pin|450 мм|750 мм|2 шт|не модульная|23 А|17 А|48 А|0.5 А|2.5 А|576 Вт|110 Вт|6 Вт|12.5 Вт|активная|87 %|1 вентилятор|120 мм|гидродинамический|80+|2.52|500 мм|600 мм|450 мм|Есть|Есть|Есть|OCP, OTP|||86x150x140 мм|||||XN420, XP650R6.2|||||||||
Chieftec Polaris PRO PPX-1300FC-A3|1300 Вт|ATX|24+8+8(4+4) pin|550 мм|500 мм|6 шт|модульная|24 А|24 А|108.3 А|0.3 А|3 А|1300 Вт|120 Вт|3.6 Вт|15 Вт|активная||полупассивная|135 мм|гидродинамический|80+ Platinum|3|600 мм|700 мм|500 мм|Есть|Есть|Есть|AFC, OC, OTP, SIP, UVP||2 года|86x150x160 мм|3.13 кг|Есть||||||1 шт||||||
